"","",""
"Abies","fir","TN(Carter, Sevier)"
"Actaea","baneberry","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cannon, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Fentress, Franklin, Giles, Grainger, Greene, Grundy, Hamblen, Hancock, Hardeman, Hardin, Hawkins, Haywood, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, Marshall, Maury, McNairy, Meigs, Monroe, Montgomery, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, White, Williamson)"
"Actaea pachypoda","white baneberry","TN(Bledsoe, Blount, Cannon, Cheatham, Clay, Coffee, Cumberland, Davidson, DeKalb, Dickson, Dyer, Fentress, Franklin, Giles, Grundy, Hardeman, Hardin, Hawkins, Haywood, Hickman, Houston, Humphreys, Jackson, Johnson, Knox, Lawrence, Lewis, Lincoln, Macon, Marion, Marshall, Maury, McNairy, Monroe, Montgomery, Obion, Overton, Perry, Pickett, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Van Buren, White, Williamson)"
"Actaea podocarpa","mountain bugbane","TN(Carter, Cocke, Fentress, Polk, Sevier, Union)"
"Actaea racemosa","black baneberry","TN(Anderson, Benton, Blount, Campbell, Carter, Cheatham, Claiborne, Cocke, Coffee, Davidson, DeKalb, Decatur, Dickson, Grainger, Greene, Grundy, Hamblen, Hancock, Hardin, Hawkins, Hickman, Houston, Jefferson, Knox, Lawrence, Lewis, Loudon, Marion, Meigs, Monroe, Montgomery, Overton, Polk, Roane, Sevier, Stewart, Sullivan, Unicoi, Union, Warren, Washington, Williamson)"
"Actaea racemosa var. racemosa","black bugbane","TN(Anderson, Benton, Blount, Campbell, Carter, Cheatham, Claiborne, Cocke, Coffee, Davidson, DeKalb, Decatur, Dickson, Grainger, Greene, Grundy, Hamblen, Hancock, Hardin, Hawkins, Hickman, Houston, Jefferson, Knox, Lawrence, Lewis, Loudon, Marion, Meigs, Monroe, Montgomery, Overton, Polk, Roane, Sevier, Stewart, Sullivan, Unicoi, Union, Warren, Washington, Williamson)"
"Actaea rubifolia","Appalachian bugbane","TN(Anderson, Cheatham, Claiborne, Davidson, Giles, Grainger, Hamblen, Hancock, Hawkins, Jefferson, Knox, Loudon, Meigs, Montgomery, Roane, Stewart, Sullivan)"
"Adiantum","maidenhair fern","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson)"
"Adiantum capillus-veneris","common maidenhair","TN(Anderson, Campbell, Fentress, Franklin, Grundy, Hamilton, Jackson, Marion, Overton, Pickett, Robertson, Rutherford, Sullivan, Warren, White)"
"Adiantum pedatum","northern maidenhair","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, Decatur, Dickson, Dyer, Fayette, Fentress, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Haywood, Henry, Hickman, Houston, Humphreys, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Marion, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson)"
"Adlumia","adlumia","TN(Blount, Campbell, Carter, Cocke, Greene, Morgan, Sevier, Unicoi, Washington)"
"Adlumia fungosa","allegheny vine","TN(Blount, Campbell, Carter, Cocke, Greene, Morgan, Sevier, Unicoi, Washington)"
"Adonis","pheasant's eye","TN(Davidson)"
"Adonis annua","blooddrops","TN(Davidson)"
"Aegilops","goatgrass","TN(Bedford, Davidson, Henry, Knox, Marshall, Maury, Monroe, Montgomery, Rutherford, Shelby)"
"Aegilops cylindrica","jointed goatgrass","TN(Bedford, Davidson, Henry, Knox, Marshall, Maury, Monroe, Montgomery, Rutherford, Shelby)"
"Aegopodium","goutweed","TN(Cocke, Knox, Sevier, Sullivan)"
"Aegopodium podagraria","bishop's goutweed","TN(Cocke, Knox, Sevier, Sullivan)"
"Aesculus","buckeye","TN(Anderson, Bedford, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Chester, Claiborne, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fayette, Franklin, Gibson, Giles, Grainger, Greene, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Hickman, Houston, Humphreys, Jackson, Jefferson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Loudon, Macon, Madison, Marion, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Van Buren, Wayne, Weakley, Williamson, Wilson)"
"Aesculus flava","yellow buckeye","TN(Anderson, Blount, Campbell, Cannon, Carter, Claiborne, Cocke, Coffee, Cumberland, Davidson, DeKalb, Franklin, Grainger, Greene, Grundy, Hawkins, Jackson, Knox, Lincoln, Loudon, Macon, Monroe, Overton, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sevier, Smith, Sullivan, Sumner, Unicoi, Van Buren, Williamson)"
"Aesculus glabra","Ohio buckeye","TN(Bedford, Blount, Davidson, Decatur, Dickson, Franklin, Hamblen, Hawkins, Hickman, Houston, Humphreys, Jefferson, Knox, Lawrence, Lewis, Lincoln, Loudon, Maury, Montgomery, Moore, Perry, Roane, Robertson, Rutherford, Smith, Stewart, Sullivan, Sumner, Trousdale, Wayne, Williamson, Wilson)"
"Aesculus glabra var. glabra","Ohio buckeye","TN(Bedford, Blount, Davidson, Decatur, Dickson, Franklin, Hamblen, Hawkins, Hickman, Houston, Humphreys, Jefferson, Knox, Lawrence, Lewis, Lincoln, Loudon, Maury, Montgomery, Moore, Perry, Roane, Robertson, Rutherford, Smith, Stewart, Sullivan, Sumner, Trousdale, Wayne, Williamson, Wilson)"
"Aesculus pavia","red buckeye","TN(Blount, Carroll, Chester, Decatur, Fayette, Gibson, Giles, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Hickman, Lauderdale, Lincoln, Madison, Marion, McNairy, Montgomery, Moore, Obion, Polk, Roane, Shelby, Stewart, Tipton, Weakley)"
"Aesculus pavia var. pavia","red buckeye","TN(Blount, Carroll, Chester, Decatur, Fayette, Gibson, Giles, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henderson, Hickman, Lauderdale, Lincoln, Madison, Marion, McNairy, Montgomery, Moore, Obion, Polk, Roane, Shelby, Stewart, Tipton, Weakley)"
"Aesculus sylvatica","painted buckeye","TN(Anderson, Bledsoe, Blount, Bradley, Cumberland, Giles, Grainger, Knox, Madison, Marion, McMinn, Meigs, Rhea, Roane, Sequatchie)"
"Agalinis","false foxglove","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Cannon, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fayette, Fentress, Franklin, Grainger, Greene, Grundy, Hamilton, Hardeman, Hardin, Haywood, Henry, Hickman, Humphreys, Jackson, Jefferson, Knox, Lauderdale, Lawrence, Lewis, Madison, Marion, Marshall, Maury, McMinn, McNairy, Monroe, Montgomery, Moore, Morgan, Overton, Perry, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Union, Van Buren, Warren, Wayne, White, Williamson)"
"Agalinis auriculata","earleaf false foxglove","TN(Bledsoe, Carroll, Montgomery, Roane, Tipton)"
"Agalinis fasciculata","beach false foxglove","TN(Benton, Carroll, Coffee, Cumberland, Davidson, Decatur, Fayette, Hardin, Haywood, Madison, McNairy, Montgomery, Shelby, Stewart, Tipton)"
"Agalinis gattingeri","roundstem false foxglove","TN(Coffee, Davidson, Dickson, Franklin, Grundy, Hardin, Haywood, Hickman, Lawrence, Lewis, Marion, McNairy, Montgomery, Rhea, Rutherford, Scott, Stewart, Warren, Wayne)"
"Agalinis heterophylla","prairie false foxglove","TN(Haywood)"
"Agalinis obtusifolia","tenlobe false foxglove","TN(Bledsoe, Cannon, Coffee, Cumberland, Decatur, Fentress, Franklin, Lewis, Rhea, Roane, Van Buren)"
"Agalinis oligophylla","ridgestem false foxglove","TN(Coffee, Franklin, Warren)"
"Agalinis plukenetii","Chattahoochee false foxglove","TN(Polk)"
"Agalinis purpurea","purple false foxglove","TN(Benton, Bledsoe, Blount, Cannon, Carroll, Claiborne, Coffee, Cumberland, Davidson, DeKalb, Dickson, Fayette, Fentress, Franklin, Hardeman, Hardin, Jefferson, Lawrence, Lewis, Marion, Montgomery, Moore, Morgan, Overton, Perry, Polk, Putnam, Roane, Robertson, Scott, Sevier, Van Buren, Warren, White)"
"Agalinis setacea","threadleaf false foxglove","TN(Blount, Cumberland, Haywood, Polk)"
"Agalinis skinneriana","Skinner's false foxglove","TN(Coffee)"
"Agalinis tenuifolia","slenderleaf false foxglove","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Cannon, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Grainger, Greene, Grundy, Hamilton, Hardin, Haywood, Henry, Humphreys, Jackson, Knox, Lauderdale, Lewis, Marion, Marshall, Maury, McMinn, McNairy, Monroe, Montgomery, Morgan, Overton, Polk, Putnam, Rhea, Roane, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Union, Warren, Wayne, White, Williamson)"
"Agastache","giant hyssop","TN(Cannon, Carter, Cheatham, Chester, Clay, Davidson, DeKalb, Fentress, Giles, Henry, Hickman, Humphreys, Jefferson, Knox, Marshall, Montgomery, Obion, Perry, Pickett, Polk, Roane, Rutherford, Stewart, Sumner, Tipton)"
"Agastache nepetoides","yellow giant hyssop","TN(Cannon, Cheatham, Chester, Clay, Davidson, DeKalb, Fentress, Giles, Henry, Hickman, Humphreys, Jefferson, Knox, Marshall, Montgomery, Obion, Perry, Pickett, Roane, Rutherford, Stewart, Sumner, Tipton)"
"Agastache scrophulariifolia","purple giant hyssop","TN(Carter, Polk, Roane)"
"Ageratina","snakeroot","TN(Anderson, Bedford, Bledsoe, Blount, Campbell, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Davidson, Decatur, Dickson, Dyer, Fentress, Franklin, Giles, Grainger, Greene, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Henderson, Hickman, Houston, Humphreys, Jackson, Knox, Lake, Lauderdale, Lawrence, Lewis, Loudon, Macon, Marion, Marshall, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Wayne, Weakley, Williamson)"
"Ageratina altissima","white snakeroot","TN(Anderson, Bedford, Bledsoe, Blount, Campbell, Carter, Cheatham, Claiborne, Clay, Cocke, Cumberland, Davidson, Decatur, Dickson, Dyer, Fentress, Franklin, Giles, Grainger, Greene, Grundy, Hardeman, Hardin, Hawkins, Henderson, Hickman, Humphreys, Jackson, Knox, Lake, Lauderdale, Lawrence, Lewis, Loudon, Macon, Marion, Marshall, McMinn, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Weakley, Williamson)"
"Ageratina aromatica","lesser snakeroot","TN(Bedford, Bledsoe, Blount, Coffee, Cumberland, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hawkins, Hickman, Houston, Knox, Lewis, Marion, Marshall, McNairy, Meigs, Montgomery, Polk, Putnam, Rhea, Sequatchie, Sevier, Stewart, Sumner, Wayne, Williamson)"
"Ageratina aromatica var. aromatica","lesser snakeroot","TN(Bedford, Bledsoe, Blount, Coffee, Cumberland, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hawkins, Hickman, Houston, Knox, Lewis, Marion, Marshall, McNairy, Meigs, Montgomery, Polk, Putnam, Rhea, Sequatchie, Sevier, Stewart, Sumner, Wayne, Williamson)"
"Ageratina luciae-brauniae","Lucy Braun's snakeroot","TN(Fentress, Pickett, Putnam, Scott)"
"Agrimonia","agrimony","TN(Anderson, Bedford, Benton, Bledsoe, Blount, Bradley, Campbell, Carroll, Carter, Cheatham, Claiborne, Clay, Cocke, Coffee, Cumberland, Decatur, Dickson, Fayette, Fentress, Franklin, Giles, Grainger, Grundy, Hamblen, Hamilton, Hancock, Hardeman, Hardin, Hawkins, Henry, Hickman, Humphreys, Jackson, Jefferson, Johnson, Knox, Lauderdale, Lawrence, Lewis, Loudon, Madison, Marion, Maury, McNairy, Meigs, Monroe, Montgomery, Morgan, Overton, Perry, Polk, Putnam, Rhea, Roane, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, Wayne, Weakley, White, Williamson)"
"Agrimonia gryposepala","tall hairy agrimony","TN(Carter, Johnson, Polk)"
"Agrimonia microcarpa","smallfruit agrimony","TN(Hardin)"
"Agrimonia parviflora","harvestlice","TN(Benton, Bledsoe, Blount, Campbell, Carroll, Cheatham, Clay, Cumberland, Decatur, Dickson, Fentress, Grundy, Hancock, Hawkins, Humphreys, Lawrence, Lewis, Loudon, Monroe, Montgomery, Morgan, Putnam, Roane, Scott, Sequatchie, Sevier, Stewart, Sumner, Tipton, Unicoi, Van Buren, Warren, Washington, Weakley, Williamson)"
"Agrimonia pubescens","soft agrimony","TN(Anderson, Blount, Bradley, Campbell, Carter, Cheatham, Claiborne, Cocke, Coffee, Cumberland, Decatur, Dickson, Fayette, Franklin, Grainger, Grundy, Hamblen, Hawkins, Henry, Hickman, Jefferson, Knox, Lewis, Loudon, Marion, Maury, Meigs, Monroe, Montgomery, Overton, Perry, Polk, Rhea, Roane, Rutherford, Scott, Sevier, Stewart, Sumner, Union, Van Buren, Warren, White)"
"Agrimonia rostellata","beaked agrimony","TN(Bedford, Benton, Blount, Campbell, Cheatham, Claiborne, Clay, Cumberland, Decatur, Fayette, Franklin, Giles, Grundy, Hamblen, Hamilton, Hardeman, Hardin, Hawkins, Henry, Hickman, Humphreys, Jackson, Jefferson, Knox, Lauderdale, Lawrence, Lewis, Madison, Marion, Maury, McNairy, Montgomery, Morgan, Perry, Polk, Rhea, Roane, Sevier, Shelby, Stewart, Sumner, Tipton, Van Buren, Wayne, Weakley, White, Williamson)"
"Agrostemma","corncockle","TN(Anderson, Bedford, Blount, Carroll, Carter, Chester, Cocke, Davidson, Dickson, Hamblen, Hawkins, Henry, Knox, Loudon, Marshall, McMinn, Meigs, Montgomery, Morgan, Obion, Overton, Rutherford, Sevier, Shelby, Stewart, Sumner, Williamson)"
"Agrostemma githago","common corncockle","TN(Anderson, Bedford, Blount, Carroll, Carter, Chester, Cocke, Davidson, Dickson, Hamblen, Hawkins, Henry, Knox, Loudon, Marshall, McMinn, Meigs, Montgomery, Morgan, Obion, Overton, Rutherford, Sevier, Shelby, Stewart, Sumner, Williamson)"
