"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Acorus calamus","calamus","WV(Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Hampshire, Hardy, Harrison, Jackson, McDowell, Mineral, Monongalia, Ohio, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Upshur, Wirt)"
"Actaea","baneberry","WV(Barbour, Berkeley, Boone, Braxton, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Actaea pachypoda","white baneberry","WV(Barbour, Cabell, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, McDowell, Mineral, Monongalia, Nicholas, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Webster)"
"Actaea podocarpa","mountain bugbane","WV(Fayette, Grant, Greenbrier, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Wetzel)"
"Actaea racemosa","black baneberry","WV(Barbour, Berkeley, Boone, Braxton, Calhoun, Doddridge, Fayette, Gilmer, Grant, Hampshire, Hancock, Hardy, Harrison, Kanawha, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Actaea racemosa var. racemosa","black bugbane","WV(Barbour, Berkeley, Boone, Braxton, Calhoun, Doddridge, Fayette, Gilmer, Grant, Hampshire, Hancock, Hardy, Harrison, Kanawha, Lewis, Marion, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Randolph, Ritchie, Summers, Taylor, Tyler, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Adiantum","maidenhair fern","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Adiantum pedatum","northern maidenhair","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lincoln, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Adlumia","adlumia","WV(Fayette, Grant, Hampshire, Monongalia, Nicholas, Preston, Summers, Tucker, Wyoming)"
"Adlumia fungosa","allegheny vine","WV(Fayette, Grant, Hampshire, Monongalia, Nicholas, Preston, Summers, Tucker, Wyoming)"
"Aegilops","goatgrass","WV(Wirt)"
"Aegilops cylindrica","jointed goatgrass","WV(Wirt)"
"Aegopodium","goutweed","WV(Fayette, Wyoming)"
"Aegopodium podagraria","bishop's goutweed","WV(Fayette, Wyoming)"
"Aesculus","buckeye","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Kanawha, Lewis, Marion, Marshall, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Wayne, Wetzel, Wirt, Wyoming)"
"Aesculus flava","yellow buckeye","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Greenbrier, Kanawha, Lewis, Marion, Mercer, Mineral, Monongalia, Monroe, Nicholas, Pleasants, Pocahontas, Putnam, Raleigh, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Wayne, Wetzel, Wirt, Wyoming)"
"Aesculus glabra","Ohio buckeye","WV(Brooke, Marshall, Ohio, Pleasants, Preston, Tyler, Wyoming)"
"Aesculus glabra var. glabra","Ohio buckeye","WV(Brooke, Marshall, Ohio, Pleasants, Preston, Tyler, Wyoming)"
"Aesculus hippocastanum","horse chestnut","WV(Mineral, Monongalia, Preston, Tyler)"
"Aesculus pavia","red buckeye","WV(Monongalia, Wetzel)"
"Aesculus pavia var. pavia","red buckeye","WV(Monongalia, Wetzel)"
"Aethusa","aethusa","WV(Pocahontas)"
"Aethusa cynapium","fool's parsley","WV(Pocahontas)"
"Agalinis","false foxglove","WV(Barbour, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Jackson, Lincoln, Mason, McDowell, Mineral, Monongalia, Monroe, Morgan, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Agalinis auriculata","earleaf false foxglove","WV(Morgan)"
"Agalinis purpurea","purple false foxglove","WV(Barbour, Fayette, Greenbrier, Hampshire, Mason, Monongalia, Randolph, Summers)"
"Agalinis tenuifolia","slenderleaf false foxglove","WV(Barbour, Cabell, Calhoun, Fayette, Hampshire, Hardy, Jackson, Lincoln, McDowell, Mineral, Monongalia, Monroe, Morgan, Pocahontas, Preston, Raleigh, Ritchie, Summers, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","WV(Barbour, Cabell, Calhoun, Fayette, Hampshire, Hardy, Jackson, Lincoln, McDowell, Mineral, Monongalia, Monroe, Morgan, Pocahontas, Preston, Raleigh, Ritchie, Summers, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Agastache","giant hyssop","WV(Barbour, Berkeley, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Marion, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Ohio, Pocahontas, Randolph, Summers, Tucker, Wayne, Wetzel, Wirt)"
"Agastache nepetoides","yellow giant hyssop","WV(Calhoun, Fayette, Grant, Hampshire, Hardy, Jackson, Kanawha, Marion, Mason, McDowell, Mercer, Monongalia, Monroe, Ohio, Pocahontas, Summers, Tucker, Wayne, Wetzel, Wirt)"
"Agastache scrophulariifolia","purple giant hyssop","WV(Barbour, Berkeley, Greenbrier, Hampshire, Hancock, Mercer, Mineral, Randolph, Summers, Tucker, Wetzel)"
"Ageratina","snakeroot","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Ageratina altissima","white snakeroot","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Ageratina altissima var. altissima","white snakeroot","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Logan, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Ageratina aromatica","lesser snakeroot","WV(Kanawha, Pocahontas, Raleigh)"
"Ageratina aromatica var. aromatica","lesser snakeroot","WV(Kanawha, Pocahontas, Raleigh)"
"Agrimonia","agrimony","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Agrimonia gryposepala","tall hairy agrimony","WV(Berkeley, Braxton, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Kanawha, Mercer, Monongalia, Morgan, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Tucker)"
"Agrimonia microcarpa","smallfruit agrimony","WV(Fayette, Preston, Summers)"
"Agrimonia parviflora","harvestlice","WV(Barbour, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, McDowell, Mineral, Monongalia, Nicholas, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Agrimonia pubescens","soft agrimony","WV(Braxton, Brooke, Cabell, Clay, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Logan, Mason, McDowell, Mineral, Mingo, Monongalia, Monroe, Ohio, Pocahontas, Preston, Raleigh, Roane, Summers, Tucker, Wayne, Wetzel)"
"Agrimonia rostellata","beaked agrimony","WV(Braxton, Fayette, Gilmer, Hardy, Kanawha, Preston, Randolph, Ritchie, Wayne, Webster, Wetzel, Wirt, Wyoming)"
"Agrimonia striata","roadside agrimony","WV(Barbour, Boone, Hampshire, Hancock, Lewis, Marion, Monongalia, Pocahontas, Randolph, Ritchie, Wetzel)"
"Agrostemma","corncockle","WV(Barbour, Berkeley, Brooke, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, Marshall, McDowell, Mercer, Monongalia, Monroe, Nicholas, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Wayne, Wetzel)"
"Agrostemma githago","common corncockle","WV(Barbour, Berkeley, Brooke, Cabell, Calhoun, Fayette, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, Marshall, McDowell, Mercer, Monongalia, Monroe, Nicholas, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Wayne, Wetzel)"
"Agrostis","bentgrass","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Agrostis canina","velvet bentgrass","WV(Grant, Randolph)"
"Agrostis capillaris","colonial bentgrass","WV(Fayette, Hardy, Kanawha, Lincoln, Monongalia, Pocahontas, Preston, Raleigh, Randolph, Roane, Wetzel, Wyoming)"
"Agrostis gigantea","redtop","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Doddridge, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Agrostis hyemalis","winter bentgrass","WV(Barbour, Brooke, Cabell, Fayette, Greenbrier, Hancock, Kanawha, Lewis, Marion, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Randolph, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Agrostis mertensii","northern bentgrass","WV(Pocahontas, Randolph)"
"Agrostis perennans","upland bentgrass","WV(Berkeley, Cabell, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Harrison, Jefferson, Kanawha, Mercer, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Roane, Summers, Tucker, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Agrostis scabra","rough bentgrass","WV(Preston, Tucker)"
"Agrostis stolonifera","creeping bentgrass","WV(Barbour, Fayette, Pendleton, Raleigh, Summers, Webster, Wetzel)"
"Ailanthus","ailanthus","WV(Berkeley, Brooke, Clay, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Jefferson, Kanawha, Logan, Marion, Marshall, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Putnam, Raleigh, Roane, Summers, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Ailanthus altissima","tree of heaven","WV(Berkeley, Brooke, Clay, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Jefferson, Kanawha, Logan, Marion, Marshall, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Putnam, Raleigh, Roane, Summers, Upshur, Wayne, Wetzel, Wirt, Wood)"
"Ajuga","bugle","WV(Fayette, Hardy, Kanawha, Marion, Monongalia, Ohio, Randolph, Ritchie)"
"Ajuga genevensis","blue bugle","WV(Fayette)"
"Ajuga reptans","common bugle","WV(Fayette, Hardy, Kanawha, Marion, Monongalia, Ohio, Randolph, Ritchie)"
"Akebia","chocolate vine","WV(Kanawha, Preston, Randolph)"
"Akebia quinata","chocolate vine","WV(Kanawha, Preston, Randolph)"
"Albizia","albizia","WV(Berkeley, Fayette, Logan, McDowell, Mingo, Monongalia, Morgan, Wyoming)"
"Albizia julibrissin","silktree","WV(Berkeley, Fayette, Logan, McDowell, Mingo, Monongalia, Morgan, Wyoming)"
"Alcea","hollyhock","WV(Pocahontas)"
"Alcea rosea","hollyhock","WV(Pocahontas)"
"Aletris","colicroot","WV(Fayette, Mercer, Nicholas, Raleigh, Summers, Webster)"
"Aletris farinosa","white colicroot","WV(Fayette, Mercer, Nicholas, Raleigh, Summers, Webster)"
"Alisma","water plantain","WV(Fayette, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pocahontas, Putnam, Raleigh, Randolph, Summers, Taylor, Wayne, Wirt, Wyoming)"
"Alisma subcordatum","American water plantain","WV(Fayette, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Ohio, Pocahontas, Putnam, Raleigh, Randolph, Summers, Taylor, Wayne, Wirt, Wyoming)"
"Alliaria","alliaria","WV(Berkeley, Brooke, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, Lewis, Marshall, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Summers, Webster)"
"Alliaria petiolata","garlic mustard","WV(Berkeley, Brooke, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Kanawha, Lewis, Marshall, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Summers, Webster)"
"Allium","onion","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Allium canadense","meadow garlic","WV(Barbour, Cabell, Fayette, Hampshire, Hancock, Hardy, Jackson, Marshall, McDowell, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Putnam, Raleigh, Ritchie, Summers, Upshur, Wayne, Wirt, Wood)"
"Allium canadense var. canadense","meadow garlic","WV(Barbour, Cabell, Fayette, Hampshire, Hancock, Hardy, Jackson, Marshall, McDowell, Mercer, Mineral, Monongalia, Nicholas, Ohio, Pleasants, Pocahontas, Putnam, Raleigh, Ritchie, Summers, Upshur, Wayne, Wirt, Wood)"
"Allium cernuum","nodding onion","WV(Barbour, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Marion, Mason, Mercer, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Ritchie, Summers, Taylor, Wirt, Wood, Wyoming)"
"Allium cernuum var. cernuum","nodding onion","WV(Barbour, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Marion, Mason, Mercer, Mineral, Monongalia, Monroe, Morgan, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Ritchie, Summers, Taylor, Wirt, Wood, Wyoming)"
"Allium oxyphilum","lillydale onion","WV(Greenbrier, Mercer, Monroe, Summers)"
"Allium sativum","cultivated garlic","WV(Hampshire, Hardy)"
"Allium tricoccum","ramp","WV(Barbour, Berkeley, Cabell, Fayette, Grant, Greenbrier, McDowell, Mineral, Nicholas, Ohio, Pendleton, Pocahontas, Randolph, Taylor, Tucker, Tyler, Upshur, Wetzel)"
"Allium vineale","wild garlic","WV(Berkeley, Braxton, Brooke, Calhoun, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Jackson, Jefferson, Lewis, Mercer, Monongalia, Ohio, Pendleton, Pleasants, Raleigh, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt)"
"Allium vineale ssp. vineale","wild garlic","WV(Berkeley, Braxton, Brooke, Calhoun, Doddridge, Fayette, Greenbrier, Hampshire, Hancock, Jackson, Jefferson, Lewis, Mercer, Monongalia, Ohio, Pendleton, Pleasants, Raleigh, Summers, Taylor, Tyler, Upshur, Wayne, Wetzel, Wirt)"
