"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Acalypha virginica","Virginia threeseed mercury","OK(Adair, Bryan, Canadian, Cherokee, Cleveland, Craig, Delaware, Haskell, Johnston, Kingfisher, Latimer, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Sequoyah)"
"Acer","maple","OK(Adair, Alfalfa, Atoka, Beaver, Beckham, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Garvin, Grady, Grant, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Nowata, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Tulsa, Wagoner, Washington, Woods, Woodward)"
"Acer floridanum","southern sugar maple","OK(Cherokee, Haskell, Le Flore, McCurtain, Pushmataha, Sequoyah)"
"Acer leucoderme","chalk maple","OK(Comanche, Le Flore, McCurtain)"
"Acer negundo","boxelder","OK(Adair, Atoka, Beaver, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Garvin, Grady, Grant, Harper, Haskell, Hughes, Jackson, Jefferson, Johnston, Kay, Kingfisher, Latimer, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Nowata, Okfuskee, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Seminole, Sequoyah, Stephens, Tulsa, Wagoner, Washington, Woods, Woodward)"
"Acer negundo var. interius","boxelder","OK(Caddo, Canadian, Cleveland, Comanche, Grady, Muskogee, Oklahoma, Osage, Payne)"
"Acer negundo var. negundo","boxelder","OK(Caddo, Carter, Cherokee, Cleveland, Coal, Craig, Garvin, Grant, Johnston, Kay, Kingfisher, Latimer, Le Flore, Love, Mayes, McCurtain, Murray, Noble, Oklahoma, Okmulgee, Osage, Pontotoc, Pushmataha, Tulsa, Washington, Woods, Woodward)"
"Acer negundo var. texanum","boxelder","OK(Adair, Atoka, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Craig, Delaware, Garvin, Grady, Hughes, Jefferson, Johnston, Le Flore, Love, Mayes, McCurtain, McIntosh, Murray, Muskogee, Nowata, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Stephens, Tulsa, Wagoner, Woods)"
"Acer negundo var. violaceum","boxelder","OK(Beaver)"
"Acer rubrum","red maple","OK(Adair, Atoka, Bryan, Carter, Cherokee, Choctaw, Delaware, Haskell, Johnston, Latimer, Le Flore, McCurtain, Ottawa, Pittsburg, Pushmataha, Washington)"
"Acer rubrum var. drummondii","Drummond's maple","OK(Choctaw, McCurtain)"
"Acer rubrum var. rubrum","red maple","OK(Cherokee)"
"Acer rubrum var. trilobum","red maple","OK(Atoka, Bryan, Cherokee, Choctaw, Delaware, Latimer, Le Flore, McCurtain, Pushmataha)"
"Acer saccharinum","silver maple","OK(Adair, Alfalfa, Atoka, Beckham, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Comanche, Craig, Creek, Delaware, Grady, Haskell, Johnston, Kay, Kingfisher, Latimer, Le Flore, Lincoln, Logan, Mayes, McClain, McCurtain, McIntosh, Muskogee, Noble, Nowata, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa, Wagoner, Washington)"
"Acer saccharum","sugar maple","OK(Adair, Caddo, Canadian, Cherokee, Choctaw, Comanche, Delaware, Grady, Haskell, Latimer, Le Flore, Mayes, McCurtain, Muskogee, Oklahoma, Ottawa, Payne, Pushmataha, Rogers, Sequoyah, Tulsa, Wagoner)"
"Acer saccharum var. saccharum","sugar maple","OK(Adair, Caddo, Cherokee, Choctaw, Comanche, Delaware, Grady, Latimer, Le Flore, McCurtain, Muskogee, Ottawa, Pushmataha, Rogers)"
"Achillea","yarrow","OK(Adair, Alfalfa, Atoka, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Garfield, Grady, Grant, Hughes, Jefferson, Johnston, Kay, Kingfisher, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Stephens, Tillman, Tulsa, Washington, Woods, Woodward)"
"Achillea millefolium","common yarrow","OK(Adair, Alfalfa, Atoka, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Garfield, Grady, Grant, Hughes, Jefferson, Johnston, Kay, Kingfisher, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Stephens, Tillman, Tulsa, Washington, Woods, Woodward)"
"Achillea millefolium var. occidentalis","western yarrow","OK(Adair, Alfalfa, Atoka, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Garfield, Grady, Grant, Hughes, Jefferson, Johnston, Kay, Kingfisher, Le Flore, Logan, Love, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Okfuskee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Rogers, Sequoyah, Stephens, Tillman, Tulsa, Washington, Woods, Woodward)"
"Achnatherum","needlegrass","OK(Cimarron, Texas)"
"Achnatherum hymenoides","Indian ricegrass","OK(Cimarron, Texas)"
"Achnatherum scribneri","Scribner needlegrass","OK(Cimarron)"
"Acorus","sweetflag","OK(Cleveland, Stephens)"
"Acorus calamus","calamus","OK(Cleveland, Stephens)"
"Acroptilon","hardheads","OK(Roger Mills)"
"Acroptilon repens","hardheads","OK(Roger Mills)"
"Adiantum","maidenhair fern","OK(Adair, Atoka, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Delaware, Latimer, Le Flore, Logan, Love, Marshall, McCurtain, Murray, Muskogee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pushmataha, Sequoyah)"
"Adiantum capillus-veneris","common maidenhair","OK(Adair, Caddo, Canadian, Cherokee, Delaware, Le Flore, Logan, Marshall, Murray, Ottawa, Payne, Pontotoc, Pushmataha)"
"Adiantum pedatum","northern maidenhair","OK(Adair, Atoka, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Latimer, Le Flore, Love, Marshall, McCurtain, Murray, Muskogee, Osage, Ottawa, Pittsburg, Pushmataha, Sequoyah)"
"Aegilops","goatgrass","OK(Alfalfa, Beckham, Blaine, Bryan, Cleveland, Garfield, Grant, Harmon, Harper, Kay, Kingfisher, Murray, Oklahoma, Payne, Sequoyah, Texas, Tillman, Tulsa, Washington, Woodward)"
"Aegilops cylindrica","jointed goatgrass","OK(Alfalfa, Beckham, Blaine, Bryan, Cleveland, Garfield, Grant, Harmon, Harper, Kay, Kingfisher, Murray, Oklahoma, Payne, Sequoyah, Texas, Tillman, Tulsa, Washington, Woodward)"
"Aesculus","buckeye","OK(Bryan, Caddo, Canadian, Cherokee, Comanche, Craig, Delaware, Garvin, Grady, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Pontotoc, Pottawatomie, Sequoyah, Tulsa)"
"Aesculus glabra","Ohio buckeye","OK(Bryan, Caddo, Canadian, Cherokee, Comanche, Craig, Delaware, Garvin, Grady, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Pontotoc, Pottawatomie, Sequoyah, Tulsa)"
"Aesculus glabra var. arguta","Ohio buckeye","OK(Bryan, Caddo, Canadian, Cherokee, Comanche, Craig, Delaware, Garvin, Grady, Le Flore, Marshall, Mayes, McCurtain, Murray, Muskogee, Pontotoc, Pottawatomie, Sequoyah, Tulsa)"
"Agalinis","false foxglove","OK(Adair, Beaver, Bryan, Carter, Cleveland, Coal, Creek, Delaware, Garvin, Grady, Greer, Harper, Johnston, Lincoln, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Nowata, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Seminole, Sequoyah, Tulsa, Woods)"
"Agalinis aspera","tall false foxglove","OK(Cleveland, Grady, McClain, Murray, Oklahoma, Roger Mills, Woods)"
"Agalinis auriculata","earleaf false foxglove","OK(Cleveland, Muskogee)"
"Agalinis densiflora","Osage false foxglove","OK(Carter, Cleveland, Coal, Johnston, Oklahoma)"
"Agalinis fasciculata","beach false foxglove","OK(Bryan, Cleveland, McCurtain, Muskogee, Okfuskee, Oklahoma, Osage, Pottawatomie, Sequoyah)"
"Agalinis gattingeri","roundstem false foxglove","OK(Adair, Delaware, Mayes, Ottawa, Pittsburg, Tulsa)"
"Agalinis heterophylla","prairie false foxglove","OK(Bryan, Carter, Cleveland, Creek, Garvin, Johnston, Lincoln, Marshall, Murray, Muskogee, Nowata, Ottawa, Payne, Pittsburg, Pontotoc, Seminole, Tulsa)"
"Agalinis tenuifolia","slenderleaf false foxglove","OK(Beaver, Bryan, Greer, Harper, Johnston, McCurtain, Sequoyah, Woods)"
"Agastache","giant hyssop","OK(Adair, Cherokee, Cleveland, Creek, Muskogee, Ottawa, Tulsa)"
"Agastache nepetoides","yellow giant hyssop","OK(Adair, Cherokee, Cleveland, Creek, Muskogee, Ottawa, Tulsa)"
"Ageratina","snakeroot","OK(Adair, Bryan, Caddo, Cherokee, Cleveland, Delaware, Le Flore, Mayes, McCurtain, Muskogee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Tulsa)"
"Ageratina altissima","white snakeroot","OK(Adair, Bryan, Caddo, Cherokee, Cleveland, Delaware, Le Flore, Mayes, McCurtain, Muskogee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Tulsa)"
"Ageratina altissima var. altissima","white snakeroot","OK(Adair, Bryan, Caddo, Cherokee, Cleveland, Delaware, Le Flore, Mayes, McCurtain, Muskogee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Tulsa)"
"Agrimonia","agrimony","OK(Bryan, Cherokee, Comanche, Craig, Delaware, Grady, Johnston, Kiowa, Latimer, Le Flore, Marshall, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Pawnee, Pontotoc, Pottawatomie, Stephens, Tulsa, Woodward)"
"Agrimonia parviflora","harvestlice","OK(Bryan, Comanche, Craig, Delaware, Grady, Kiowa, Latimer, Marshall, McCurtain, Oklahoma, Stephens, Woodward)"
"Agrimonia pubescens","soft agrimony","OK(Cherokee, Delaware, Johnston, McCurtain, Murray, Muskogee, Osage, Ottawa, Pawnee, Pontotoc, Pottawatomie)"
"Agrimonia rostellata","beaked agrimony","OK(Bryan, Cherokee, Delaware, Le Flore, Marshall, Murray, Oklahoma, Pottawatomie, Tulsa)"
"Agropyron","wheatgrass","OK(Payne)"
"Agropyron cristatum","crested wheatgrass","OK(Payne)"
"Agropyron cristatum ssp. pectinatum","crested wheatgrass","OK(Payne)"
"Agrostemma","corncockle","OK(Adair, Cleveland, Muskogee, Ottawa, Sequoyah)"
"Agrostemma githago","common corncockle","OK(Adair, Cleveland, Muskogee, Ottawa, Sequoyah)"
"Agrostis","bentgrass","OK(Bryan, Caddo, Cherokee, Cimarron, Cleveland, Comanche, Delaware, Garvin, Grady, Johnston, Latimer, Le Flore, Lincoln, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pottawatomie, Rogers, Wagoner, Washington)"
"Agrostis elliottiana","Elliott's bentgrass","OK(Bryan, Cherokee, Cleveland, Johnston, Latimer, McCurtain, Murray, Muskogee, Osage, Payne, Wagoner)"
"Agrostis exarata","spike bentgrass","OK(Cimarron)"
"Agrostis gigantea","redtop","OK(Caddo, Cimarron, Cleveland, Muskogee, Pottawatomie)"
"Agrostis hyemalis","winter bentgrass","OK(Bryan, Cleveland, Comanche, Garvin, Grady, Johnston, Latimer, Le Flore, Lincoln, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Rogers, Wagoner, Washington)"
"Agrostis perennans","upland bentgrass","OK(Cherokee, Cleveland, Delaware, Le Flore, McCurtain, Osage)"
"Ailanthus","ailanthus","OK(Bryan, Comanche, Payne)"
"Ailanthus altissima","tree of heaven","OK(Bryan, Comanche, Payne)"
"Alisma","water plantain","OK(Alfalfa, Bryan, Cleveland, Garvin, Johnston, Latimer, Marshall, Ottawa)"
"Alisma subcordatum","American water plantain","OK(Alfalfa, Bryan, Cleveland, Garvin, Johnston, Latimer, Marshall, Ottawa)"
"Allionia","windmills","OK(Cimarron)"
"Allionia incarnata","trailing windmills","OK(Cimarron)"
"Allionia incarnata var. incarnata","trailing windmills","OK(Cimarron)"
"Allium","onion","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Craig, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Haskell, Jackson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Stephens, Texas, Tillman, Tulsa, Wagoner, Washington, Washita, Woods, Woodward)"
"Allium canadense","meadow garlic","OK(Alfalfa, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cleveland, Coal, Comanche, Craig, Creek, Custer, Dewey, Ellis, Garfield, Grady, Haskell, Jackson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Love, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Stephens, Texas, Tulsa, Wagoner, Washington, Woodward)"
"Allium canadense var. canadense","meadow garlic","OK(Bryan, Caddo, Cherokee, Choctaw, Cleveland, Comanche, Latimer, Le Flore, Mayes, McCurtain, Oklahoma, Osage, Ottawa, Payne, Pushmataha, Texas, Tulsa)"
"Allium canadense var. fraseri","Fraser meadow garlic","OK(Alfalfa, Blaine, Caddo, Canadian, Carter, Cleveland, Comanche, Creek, Dewey, Ellis, Garfield, Grady, Kay, Kingfisher, Kiowa, Marshall, McClain, Murray, Noble, Oklahoma, Pawnee, Payne, Roger Mills, Texas, Washington, Woodward)"
"Allium canadense var. hyacinthoides","hyacinth meadow garlic","OK(Beckham, Blaine, Canadian, Choctaw, Cleveland, Coal, Comanche, Creek, Custer, Grady, Haskell, Jackson, Johnston, Love, McClain, Murray, Muskogee, Oklahoma, Okmulgee, Osage, Payne, Pontotoc, Pottawatomie, Stephens, Tulsa, Wagoner)"
"Allium canadense var. lavandulare","meadow garlic","OK(Kay, Mayes, Osage, Pawnee, Sequoyah)"
"Allium canadense var. mobilense","meadow garlic","OK(Craig, Ottawa, Rogers)"
"Allium drummondii","Drummond's onion","OK(Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Dewey, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Johnston, Kingfisher, Kiowa, Logan, Love, Major, McClain, McCurtain, Murray, Muskogee, Noble, Oklahoma, Okmulgee, Payne, Pottawatomie, Roger Mills, Stephens, Texas, Tillman, Washita, Woods)"
"Allium perdulce","plains onion","OK(Alfalfa, Bryan, Canadian, Cleveland, Ellis, Garfield, Grant, Greer, Harper, Kay, Kingfisher, Kiowa, Major, Noble, Roger Mills, Texas, Woods)"
"Allium perdulce var. perdulce","plains onion","OK(Alfalfa, Bryan, Canadian, Cleveland, Ellis, Garfield, Grant, Greer, Harper, Kay, Kingfisher, Kiowa, Major, Noble, Roger Mills, Texas, Woods)"
"Allium stellatum","autumn onion","OK(Adair, Cherokee, Comanche, Mayes, Murray)"
"Allium vineale","wild garlic","OK(Adair, Delaware, Ottawa, Sequoyah)"
"Alnus","alder","OK(Johnston, Pontotoc)"
"Alnus maritima","seaside alder","OK(Johnston, Pontotoc)"
"Alopecurus","foxtail","OK(Adair, Alfalfa, Bryan, Cherokee, Cleveland, Comanche, Delaware, Greer, Johnston, Kingfisher, Logan, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Rogers, Sequoyah, Woods)"
"Alopecurus carolinianus","Carolina foxtail","OK(Adair, Alfalfa, Bryan, Cherokee, Cleveland, Comanche, Delaware, Greer, Johnston, Kingfisher, Logan, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Rogers, Sequoyah, Woods)"
"Alopecurus geniculatus","water foxtail","OK(Adair, Cherokee, Delaware, Mayes, Sequoyah)"
"Alopecurus geniculatus var. geniculatus","water foxtail","OK(Adair, Cherokee, Delaware, Mayes, Sequoyah)"
"Alternanthera","joyweed","OK(Tillman)"
"Alternanthera caracasana","washerwoman","OK(Tillman)"
"Amaranthus","pigweed","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cimarron, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Garfield, Grady, Grant, Greer, Harmon, Harper, Hughes, Jackson, Kay, Kingfisher, Kiowa, Latimer, Major, Marshall, McClain, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Pawnee, Payne, Pittsburg, Pottawatomie, Roger Mills, Sequoyah, Texas, Tillman, Tulsa, Wagoner, Washita, Woods)"
"Amaranthus albus","prostrate pigweed","OK(Blaine, Cleveland, Comanche, Custer, Grant, Greer, Harper, Kingfisher, Major, Marshall, Oklahoma, Payne, Pittsburg, Pottawatomie, Texas, Woods)"
"Amaranthus arenicola","sandhill amaranth","OK(Beckham, Blaine, Caddo, Cimarron, Cleveland, Comanche, Custer, Garfield, Greer, Harmon, Harper, Jackson, Kiowa, Pottawatomie, Roger Mills, Washita, Woods)"
"Amaranthus blitoides","mat amaranth","OK(Beaver, Blaine, Bryan, Cimarron, Cleveland, Custer, Grady, Harper, Jackson, McClain, Muskogee, Oklahoma, Payne, Pittsburg, Sequoyah, Texas, Woods)"
"Amaranthus hybridus","slim amaranth","OK(Cleveland, Delaware, Latimer, McCurtain, Murray, Muskogee, Oklahoma, Tulsa)"
"Amaranthus palmeri","carelessweed","OK(Blaine, Caddo, Cleveland, Grady, Jackson, McClain, Murray, Oklahoma, Tillman)"
"Amaranthus retroflexus","redroot amaranth","OK(Alfalfa, Beaver, Blaine, Bryan, Cimarron, Cleveland, Custer, Grady, Greer, Hughes, Jackson, Marshall, Muskogee, Oklahoma, Pawnee, Payne, Pottawatomie, Texas, Tulsa, Washita, Woods)"
"Amaranthus spinosus","spiny amaranth","OK(Bryan, Cleveland, Creek, Grady, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Tulsa)"
"Amaranthus tuberculatus","roughfruit amaranth","OK(Alfalfa, Beaver, Bryan, Canadian, Cherokee, Choctaw, Cleveland, Comanche, Craig, Custer, Delaware, Garfield, Grant, Greer, Harmon, Harper, Kay, Kingfisher, Marshall, Murray, Muskogee, Oklahoma, Ottawa, Payne, Texas, Tulsa, Wagoner, Woods)"
"Ambrosia","ragweed","OK(Adair, Alfalfa, Beaver, Beckham, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cimarron, Cleveland, Comanche, Cotton, Craig, Creek, Custer, Delaware, Dewey, Ellis, Grady, Grant, Harmon, Harper, Hughes, Jackson, Kay, Kingfisher, Latimer, Le Flore, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Sequoyah, Stephens, Texas, Tulsa, Wagoner, Woods)"
"Ambrosia acanthicarpa","flatspine bur ragweed","OK(Cimarron, Texas)"
"Ambrosia artemisiifolia","annual ragweed","OK(Cherokee, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Pittsburg, Pontotoc, Pottawatomie)"
"Ambrosia artemisiifolia var. elatior","annual ragweed","OK(Cherokee, Cleveland, Comanche, Craig, Creek, Custer, Delaware, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Ottawa, Pittsburg, Pontotoc, Pottawatomie)"
"Ambrosia bidentata","lanceleaf ragweed","OK(Adair, Bryan, Caddo, Cherokee, Craig, Creek, Delaware, Hughes, Le Flore, Mayes, McIntosh, Pittsburg, Sequoyah)"
"Ambrosia confertiflora","weakleaf bur ragweed","OK(Cimarron)"
"Ambrosia grayi","woollyleaf bur ragweed","OK(Beaver, Cimarron, Ellis, Texas)"
"Ambrosia psilostachya","Cuman ragweed","OK(Alfalfa, Beaver, Bryan, Caddo, Canadian, Choctaw, Cimarron, Cleveland, Comanche, Creek, Custer, Dewey, Grady, Grant, Harmon, Harper, Jackson, Kay, Kingfisher, Marshall, Mayes, McClain, Muskogee, Oklahoma, Osage, Payne, Pottawatomie, Stephens, Texas, Tulsa, Wagoner, Woods)"
"Ambrosia trifida","great ragweed","OK(Adair, Alfalfa, Beaver, Beckham, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Comanche, Cotton, Craig, Creek, Custer, Grady, Grant, Jackson, Kay, Latimer, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pittsburg, Pontotoc, Sequoyah, Stephens, Texas, Tulsa, Woods)"
"Amelanchier","serviceberry","OK(Adair, Bryan, Cherokee, Delaware, Latimer, Le Flore, Mayes, McCurtain, Muskogee, Osage, Ottawa, Pushmataha, Seminole, Sequoyah, Tulsa)"
"Amelanchier arborea","common serviceberry","OK(Adair, Bryan, Cherokee, Delaware, Latimer, Le Flore, Mayes, McCurtain, Muskogee, Osage, Ottawa, Pushmataha, Seminole, Sequoyah, Tulsa)"
"Ammannia","redstem","OK(Bryan, Canadian, Cherokee, Cleveland, Comanche, Creek, Custer, Garfield, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Payne, Sequoyah, Texas, Tulsa, Washita)"
"Ammannia auriculata","eared redstem","OK(Bryan, Cleveland, Comanche, Creek, Garfield, Marshall, McCurtain, Muskogee, Oklahoma, Payne, Tulsa, Washita)"
"Ammannia coccinea","valley redstem","OK(Bryan, Canadian, Cherokee, Cleveland, Comanche, Custer, Garfield, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Payne, Sequoyah, Texas)"
"Ammoselinum","sandparsley","OK(Alfalfa, Beckham, Blaine, Cleveland, Comanche, Cotton, Ellis, Garvin, Grant, Greer, Harmon, Harper, Jackson, Kay, Kingfisher, Kiowa, Love, Major, Marshall, Noble, Roger Mills, Stephens, Woods, Woodward)"
"Ammoselinum popei","plains sandparsley","OK(Alfalfa, Beckham, Blaine, Cleveland, Comanche, Cotton, Ellis, Garvin, Grant, Greer, Harmon, Harper, Jackson, Kay, Kingfisher, Kiowa, Love, Major, Marshall, Noble, Roger Mills, Stephens, Woods, Woodward)"
"Amorpha","false indigo","OK(Adair, Alfalfa, Atoka, Beaver, Blaine, Bryan, Caddo, Carter, Cherokee, Cimarron, Cleveland, Coal, Comanche, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Grant, Greer, Harmon, Haskell, Jefferson, Johnston, Kay, Kingfisher, Kiowa, Latimer, Le Flore, Logan, Major, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Seminole, Sequoyah, Stephens, Tillman, Tulsa, Wagoner, Washington, Washita, Woods)"
"Amorpha canescens","leadplant","OK(Caddo, Carter, Cimarron, Cleveland, Comanche, Custer, Delaware, Dewey, Ellis, Garfield, Garvin, Grady, Greer, Jefferson, Johnston, Kay, Kiowa, Logan, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pontotoc, Roger Mills, Seminole, Stephens, Tulsa, Washington, Washita, Woods)"
