"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Acroptilon","hardheads","ND(Barnes, Billings, Bottineau, Cass, Dickey, Dunn, Emmons, Golden Valley, Grand Forks, Grant, McHenry, McKenzie, McLean, Mountrail, Nelson, Richland, Slope, Steele, Stutsman, Ward, Wells, Williams)"
"Acroptilon repens","hardheads","ND(Barnes, Billings, Bottineau, Cass, Dickey, Dunn, Emmons, Golden Valley, Grand Forks, Grant, McHenry, McKenzie, McLean, Mountrail, Nelson, Richland, Slope, Steele, Stutsman, Ward, Wells, Williams)"
"Actaea","baneberry","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Kidder, McLean, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Walsh, Ward, Wells)"
"Actaea rubra","red baneberry","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Kidder, McLean, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Walsh, Ward, Wells)"
"Actaea rubra ssp. rubra","red baneberry","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Kidder, McLean, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Walsh, Ward, Wells)"
"Aegilops","goatgrass","ND(Golden Valley)"
"Aegilops cylindrica","jointed goatgrass","ND(Golden Valley)"
"Agalinis","false foxglove","ND(Barnes, Benson, Cass, Dickey, Eddy, Grant, Kidder, LaMoure, McHenry, McIntosh, Pembina, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Wells)"
"Agalinis aspera","tall false foxglove","ND(Barnes, Benson, Dickey, Grant, Kidder, LaMoure, McHenry, Pembina, Ransom, Richland, Steele, Stutsman, Wells)"
"Agalinis tenuifolia","slenderleaf false foxglove","ND(Barnes, Cass, Dickey, Eddy, Kidder, McHenry, McIntosh, Ransom, Richland, Rolette, Sargent, Stutsman)"
"Agalinis tenuifolia var. parviflora","slenderleaf false foxglove","ND(Barnes, Cass, Dickey, Eddy, Kidder, McHenry, McIntosh, Ransom, Richland, Rolette, Sargent, Stutsman)"
"Agastache","giant hyssop","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, Logan, McKenzie, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Steele, Stutsman, Ward, Wells, Williams)"
"Agastache foeniculum","blue giant hyssop","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, Logan, McKenzie, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Steele, Stutsman, Ward, Wells, Williams)"
"Ageratina","snakeroot","ND(Cass, Grand Forks, Ransom, Richland, Sargent, Traill)"
"Ageratina altissima","white snakeroot","ND(Cass, Grand Forks, Ransom, Richland, Sargent, Traill)"
"Ageratina altissima var. altissima","white snakeroot","ND(Cass, Grand Forks, Ransom, Richland, Sargent, Traill)"
"Agoseris","agoseris","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Agoseris glauca","pale agoseris","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Agrimonia","agrimony","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, LaMoure, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Sioux, Slope, Stark, Steele, Stutsman, Ward)"
"Agrimonia gryposepala","tall hairy agrimony","ND(Dunn, Richland)"
"Agrimonia striata","roadside agrimony","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Divide, Dunn, Emmons, Golden Valley, Grant, Hettinger, LaMoure, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Sioux, Slope, Stark, Steele, Stutsman, Ward)"
"Agropyron","wheatgrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Kidder, McHenry, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Ward, Williams)"
"Agropyron cristatum","crested wheatgrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Kidder, McHenry, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Ward, Williams)"
"Agropyron cristatum ssp. pectinatum","crested wheatgrass","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Kidder, McHenry, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Ward, Williams)"
"Agrostemma","corncockle","ND(Barnes, Benson, Bottineau, Cass, Grand Forks, Grant, Morton, Pembina, Richland, Stutsman, Ward, Williams)"
"Agrostemma githago","common corncockle","ND(Barnes, Benson, Bottineau, Cass, Grand Forks, Grant, Morton, Pembina, Richland, Stutsman, Ward, Williams)"
"Agrostis","bentgrass","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Agrostis perennans","upland bentgrass","ND(Bottineau, Burke, Mountrail)"
"Agrostis scabra","rough bentgrass","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Agrostis stolonifera","creeping bentgrass","ND(Barnes, Benson, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Emmons, Grand Forks, Grant, Griggs, Logan, McIntosh, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Alisma","water plantain","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Alisma gramineum","narrowleaf water plantain","ND(Barnes, Benson, Billings, Burke, Burleigh, Divide, Emmons, Foster, Golden Valley, Hettinger, Kidder, McHenry, McIntosh, McLean, Morton, Nelson, Pierce, Ramsey, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Williams)"
"Alisma subcordatum","American water plantain","ND(Logan, McIntosh)"
"Alisma triviale","northern water plantain","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Alliaria","alliaria","ND(Cass)"
"Alliaria petiolata","garlic mustard","ND(Cass)"
"Allium","onion","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Allium stellatum","autumn onion","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Grand Forks, Griggs, Kidder, LaMoure, Logan, McIntosh, Mercer, Nelson, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Steele, Stutsman, Walsh, Ward)"
"Allium textile","textile onion","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Logan, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Allium tricoccum","ramp","ND(Barnes, Cass, Pembina, Ransom, Richland)"
"Almutaster","alkali marsh aster","ND(Billings, Burke, Divide, Grant, McKenzie, Mountrail, Williams)"
"Almutaster pauciflorus","alkali marsh aster","ND(Billings, Burke, Divide, Grant, McKenzie, Mountrail, Williams)"
"Alnus","alder","ND(Benson, Cavalier, Eddy, Pembina, Ransom, Richland, Walsh)"
"Alnus incana","gray alder","ND(Benson, Cavalier, Eddy, Pembina, Ransom, Richland, Walsh)"
"Alnus incana ssp. rugosa","speckled alder","ND(Benson, Cavalier, Eddy, Pembina, Ransom, Richland, Walsh)"
"Alopecurus","foxtail","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Steele, Stutsman, Ward, Williams)"
"Alopecurus aequalis","shortawn foxtail","ND(Barnes, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, Logan, McIntosh, McLean, Mercer, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Ward, Williams)"
"Alopecurus aequalis var. aequalis","shortawn foxtail","ND(Barnes, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Griggs, Kidder, Logan, McIntosh, McLean, Mercer, Mountrail, Nelson, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Ward, Williams)"
"Alopecurus arundinaceus","creeping meadow foxtail","ND(Burleigh, Cass, Emmons, Logan, McLean)"
"Alopecurus carolinianus","Carolina foxtail","ND(Barnes, Burke, Divide, Emmons, Kidder, McKenzie, Morton)"
"Alopecurus geniculatus","water foxtail","ND(Burke, Divide, McKenzie, Mercer, Morton, Mountrail, Slope, Williams)"
"Alopecurus geniculatus var. geniculatus","water foxtail","ND(Burke, Divide, McKenzie, Mercer, Morton, Mountrail, Slope, Williams)"
"Alopecurus pratensis","meadow foxtail","ND(Bottineau, McKenzie)"
"Althaea","marshmallow","ND(Cass)"
"Althaea officinalis","common marshmallow","ND(Cass)"
"Alyssum","madwort","ND(Billings, Golden Valley, Ward)"
"Alyssum desertorum","desert madwort","ND(Billings, Golden Valley, Ward)"
"Alyssum desertorum var. desertorum","desert madwort","ND(Billings, Golden Valley, Ward)"
"Amaranthus","pigweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Amaranthus albus","prostrate pigweed","ND(Barnes, Benson, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, Morton, Mountrail, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Amaranthus blitoides","mat amaranth","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Amaranthus hybridus","slim amaranth","ND(Cass)"
"Amaranthus retroflexus","redroot amaranth","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Ward, Williams)"
"Amaranthus tuberculatus","roughfruit amaranth","ND(Benson, Burleigh, Cass, Foster, McHenry, Oliver, Ransom, Sargent, Slope, Traill, Ward)"
"Ambrosia","ragweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Ambrosia acanthicarpa","flatspine bur ragweed","ND(McHenry, McKenzie)"
"Ambrosia artemisiifolia","annual ragweed","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Grand Forks, Grant, Griggs, Hettinger, Kidder, McHenry, McIntosh, Mercer, Mountrail, Nelson, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Slope, Steele, Stutsman, Walsh, Ward, Williams)"
"Ambrosia artemisiifolia var. elatior","annual ragweed","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Emmons, Grand Forks, Grant, Griggs, Hettinger, Kidder, McHenry, McIntosh, Mercer, Mountrail, Nelson, Ramsey, Ransom, Renville, Richland, Sargent, Sheridan, Slope, Steele, Stutsman, Walsh, Ward, Williams)"
"Ambrosia psilostachya","Cuman ragweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McLean, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Ambrosia trifida","great ragweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Ambrosia trifida var. trifida","great ragweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Amelanchier","serviceberry","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Amelanchier alnifolia","Saskatoon serviceberry","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Amelanchier alnifolia var. alnifolia","Saskatoon serviceberry","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Amelanchier sanguinea","roundleaf serviceberry","ND(Barnes, Benson, Billings, Bottineau, Bowman, Cass, Cavalier, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, McKenzie, McLean, Mercer, Morton, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Amelanchier sanguinea var. sanguinea","roundleaf serviceberry","ND(Barnes, Benson, Billings, Bottineau, Bowman, Cass, Cavalier, Divide, Emmons, Golden Valley, Grand Forks, Grant, Griggs, McKenzie, McLean, Mercer, Morton, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
"Ammannia","redstem","ND(Cass, Emmons, Richland)"
"Ammannia coccinea","valley redstem","ND(Cass, Emmons, Richland)"
"Amorpha","false indigo","ND(Barnes, Benson, Billings, Burleigh, Cass, Cavalier, Dickey, Eddy, Emmons, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells)"
"Amorpha canescens","leadplant","ND(Barnes, Benson, Billings, Burleigh, Cass, Cavalier, Eddy, Emmons, Grant, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, Morton, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Sargent, Sheridan, Sioux, Steele, Stutsman, Traill, Walsh, Ward, Wells)"
"Amorpha fruticosa","false indigo bush","ND(Barnes, Burleigh, Cass, Emmons, Grand Forks, LaMoure, Logan, McLean, Mercer, Morton, Pembina, Ransom, Richland, Sargent, Stutsman)"
"Amorpha nana","dwarf false indigo","ND(Barnes, Burleigh, Cass, Cavalier, Dickey, Eddy, Emmons, Grant, Kidder, LaMoure, Logan, McHenry, McIntosh, McLean, Mercer, Morton, Oliver, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Stark, Stutsman, Ward, Wells)"
"Amphicarpaea","hogpeanut","ND(Barnes, Benson, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, McLean, Morton, Oliver, Pembina, Ransom, Richland, Steele, Stutsman, Walsh)"
"Amphicarpaea bracteata","American hogpeanut","ND(Barnes, Benson, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, McLean, Morton, Oliver, Pembina, Ransom, Richland, Steele, Stutsman, Walsh)"
"Amsinckia","fiddleneck","ND(Cass, Pembina, Pierce)"
"Amsinckia menziesii","Menzies' fiddleneck","ND(Cass, Pembina, Pierce)"
"Amsinckia menziesii var. intermedia","common fiddleneck","ND(Cass, Pembina, Pierce)"
"Anagallis","pimpernel","ND(Barnes, Benson, Burke, Divide, Logan)"
"Anagallis minima","chaffweed","ND(Barnes, Benson, Burke, Divide, Logan)"
"Anchusa","bugloss","ND(Stark, Stutsman)"
"Anchusa arvensis","small bugloss","ND(Stark, Stutsman)"
"Andropogon","bluestem","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Andropogon gerardii","big bluestem","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Walsh, Ward, Wells, Williams)"
"Andropogon hallii","sand bluestem","ND(Billings, Emmons, Golden Valley, Grant, Kidder, Logan, McHenry, McKenzie, Mercer, Morton, Oliver, Ransom, Richland, Slope, Williams)"
"Androsace","rockjasmine","ND(Adams, Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Williams)"
"Androsace occidentalis","western rockjasmine","ND(Adams, Barnes, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Emmons, Logan, McHenry, McLean, Mercer, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Stark, Stutsman, Towner, Traill, Walsh, Ward, Williams)"
"Androsace septentrionalis","pygmyflower rockjasmine","ND(Benson, Billings, Bottineau, Burke, Cavalier, Divide, Golden Valley, Kidder, McKenzie, Mountrail, Pembina, Pierce, Ramsey, Rolette, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
