"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Acanthospermum","starbur","VA(Arlington, Chesterfield, Greensville, Northampton, Virginia Beach (city))"
"Acanthospermum australe","Paraguayan starbur","VA(Arlington, Chesterfield, Greensville, Virginia Beach (city))"
"Acanthospermum hispidum","hispid starbur","VA(Northampton)"
"Acer","maple","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Acer floridanum","southern sugar maple","VA(Amelia, Brunswick, Dinwiddie, Greensville, Halifax, Isle of Wight, James City, Lunenburg, Mecklenburg, Newport News (city), Nottoway, Prince Edward, Suffolk (city), Sussex, York)"
"Acer negundo","boxelder","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, Newport News (city), Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe, York)"
"Acer negundo var. negundo","boxelder","VA(Shenandoah)"
"Acer nigrum","black maple","VA(Alleghany, Bath, Bland, Botetourt, Clarke, Craig, Dickenson, Frederick, Giles, Highland, Lee, Montgomery, Patrick, Pulaski, Rockbridge, Russell, Scott, Shenandoah, Smyth, Warren, Washington, Wythe)"
"Acer pensylvanicum","striped maple","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Campbell, Carroll, Craig, Dickenson, Floyd, Franklin, Frederick, Giles, Grayson, Greene, Highland, Madison, Montgomery, Nelson, Orange, Page, Patrick, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Warren, Washington, Wise, Wythe)"
"Acer platanoides","Norway maple","VA(Accomack, Albemarle, Arlington, Augusta, Campbell, Clarke, Fairfax, Fauquier, Frederick, Gloucester, Greene, Henrico, King William, Loudoun, Northampton, Page, Pulaski, Rockingham, Shenandoah, Spotsylvania, Stafford, Suffolk (city), Warren)"
"Acer rubrum","red maple","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Acer saccharinum","silver maple","VA(Albemarle, Alleghany, Amherst, Appomattox, Arlington, Augusta, Bedford, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Charles City, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Hanover, Henrico, James City, King George, King William, Lancaster, Lee, Loudoun, Louisa, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, Northampton, Northumberland, Orange, Page, Patrick, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Surry, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe)"
"Acer saccharum","sugar maple","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Clarke, Craig, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Henry, Highland, Lee, Loudoun, Madison, Montgomery, Nelson, Page, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Warren, Washington, Wise, Wythe)"
"Acer saccharum var. saccharum","sugar maple","VA(Albemarle, Alleghany, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Clarke, Craig, Dickenson, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Grayson, Greene, Henry, Highland, Lee, Loudoun, Madison, Montgomery, Nelson, Page, Pittsylvania, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Warren, Washington, Wise, Wythe)"
"Acer spicatum","mountain maple","VA(Albemarle, Alleghany, Amherst, Augusta, Bath, Bedford, Bland, Botetourt, Craig, Floyd, Franklin, Frederick, Giles, Grayson, Greene, Highland, Madison, Nelson, Page, Patrick, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Tazewell, Warren, Washington, Wise, Wythe)"
"Achillea","yarrow","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Achillea millefolium","common yarrow","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Achillea millefolium var. occidentalis","western yarrow","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Acinos","acinos","VA(Lee)"
"Acinos arvensis","basil thyme","VA(Lee)"
"Aconitum","monkshood","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Carroll, Charlotte, Culpeper, Cumberland, Dinwiddie, Fairfax, Floyd, Fluvanna, Giles, Goochland, Grayson, Greene, Greensville, Highland, James City, Lee, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Pulaski, Roanoke, Rockbridge, Rockingham, Russell, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Tazewell, Warren)"
"Aconitum reclinatum","trailing white monkshood","VA(Augusta, Bath, Botetourt, Grayson, Greene, Highland, Madison, Page, Rockbridge, Rockingham, Russell, Smyth, Warren)"
"Aconitum uncinatum","southern blue monkshood","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Carroll, Charlotte, Culpeper, Cumberland, Dinwiddie, Fairfax, Floyd, Fluvanna, Giles, Goochland, Grayson, Greensville, James City, Lee, Louisa, Lunenburg, Mecklenburg, Montgomery, Nelson, Nottoway, Orange, Patrick, Pittsylvania, Powhatan, Prince Edward, Pulaski, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Tazewell)"
"Acorus","sweetflag","VA(Accomack, Albemarle, Amherst, Arlington, Augusta, Bath, Bedford, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Hampton (city), Highland, King George, King William, King and Queen, Lee, Loudoun, Mathews, Montgomery, Nelson, New Kent, Orange, Page, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Stafford, Suffolk (city), Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wythe)"
"Acorus americanus","sweetflag","VA(Shenandoah)"
"Acorus calamus","calamus","VA(Accomack, Albemarle, Amherst, Arlington, Augusta, Bath, Bedford, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Hampton (city), Highland, King George, King William, King and Queen, Lee, Loudoun, Mathews, Montgomery, Nelson, New Kent, Orange, Page, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Stafford, Suffolk (city), Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wythe)"
"Actaea","baneberry","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Halifax, Henrico, Henry, Highland, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, New Kent, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Actaea pachypoda","white baneberry","VA(Albemarle, Amherst, Augusta, Bath, Bedford, Botetourt, Brunswick, Caroline, Dickenson, Floyd, Frederick, Giles, Gloucester, Grayson, Greene, Halifax, Highland, James City, King William, Lee, Madison, Nelson, New Kent, Page, Pittsylvania, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Smyth, Surry, Tazewell, Warren, Washington, Wise)"
"Actaea podocarpa","mountain bugbane","VA(Alleghany, Amherst, Augusta, Bath, Bedford, Botetourt, Buchanan, Dickenson, Floyd, Giles, Grayson, Highland, Nelson, Patrick, Rockbridge, Rockingham, Russell, Smyth, Tazewell, Washington, Wise)"
"Actaea racemosa","black baneberry","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Halifax, Henrico, Henry, Highland, James City, King George, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Actaea racemosa var. racemosa","black bugbane","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Goochland, Grayson, Greene, Halifax, Henrico, Henry, Highland, James City, King George, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Montgomery, Nelson, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Adiantum","maidenhair fern","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Adiantum capillus-veneris","common maidenhair","VA(Wythe)"
"Adiantum pedatum","northern maidenhair","VA(Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Adlumia","adlumia","VA(Amherst, Bland, Carroll, Craig, Dickenson, Grayson, Highland, Madison, Page, Rockingham, Tazewell, Warren, Wise)"
"Adlumia fungosa","allegheny vine","VA(Amherst, Bland, Carroll, Craig, Dickenson, Grayson, Highland, Madison, Page, Rockingham, Tazewell, Warren, Wise)"
"Aegilops","goatgrass","VA(Arlington, Augusta, Campbell, Clarke, Montgomery, Nelson, Page, Pulaski, Rockingham, Russell)"
"Aegilops cylindrica","jointed goatgrass","VA(Augusta, Campbell, Clarke, Montgomery, Nelson, Page, Pulaski, Rockingham, Russell)"
"Aegilops neglecta","three-awned goatgrass","VA(Arlington)"
"Aegopodium","goutweed","VA(Bath, Henrico, Orange, Washington, Westmoreland)"
"Aegopodium podagraria","bishop's goutweed","VA(Bath, Henrico, Orange, Washington, Westmoreland)"
"Aeschynomene","jointvetch","VA(Charles City, Essex, James City, King William, King and Queen, Middlesex, New Kent, Prince George, Richmond, Stafford, Surry)"
"Aeschynomene virginica","Virginia jointvetch","VA(Charles City, Essex, James City, King William, King and Queen, Middlesex, New Kent, Prince George, Richmond, Stafford, Surry)"
"Aesculus","buckeye","VA(Alleghany, Amherst, Appomattox, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Carroll, Charlotte, Craig, Dickenson, Floyd, Giles, Grayson, Greensville, Halifax, Lee, Lunenburg, Mecklenburg, Montgomery, Nelson, Nottoway, Pittsylvania, Pulaski, Roanoke, Rockbridge, Russell, Scott, Shenandoah, Smyth, Tazewell, Washington, Wise, Wythe)"
"Aesculus flava","yellow buckeye","VA(Alleghany, Amherst, Appomattox, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Carroll, Craig, Dickenson, Floyd, Giles, Grayson, Halifax, Lee, Montgomery, Nelson, Pittsylvania, Pulaski, Roanoke, Rockbridge, Russell, Scott, Smyth, Tazewell, Washington, Wise, Wythe)"
"Aesculus glabra","Ohio buckeye","VA(Shenandoah)"
"Aesculus sylvatica","painted buckeye","VA(Brunswick, Charlotte, Greensville, Halifax, Lunenburg, Mecklenburg, Nottoway, Pittsylvania)"
"Agalinis","false foxglove","VA(Accomack, Albemarle, Amelia, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Agalinis auriculata","earleaf false foxglove","VA(Fairfax)"
"Agalinis fasciculata","beach false foxglove","VA(Albemarle, Caroline, Charlotte, Chesapeake (city), Chesterfield, Dinwiddie, Fairfax, Halifax, Hanover, Henrico, King and Queen, Lunenburg, New Kent, Nottoway)"
"Agalinis maritima","saltmarsh false foxglove","VA(Accomack, Gloucester, Hampton (city), Mathews, Newport News (city), Northampton, Northumberland, Virginia Beach (city))"
