"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Acer","maple","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Acer floridanum","southern sugar maple","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Cherokee, Chester, Edgefield, Florence, Greenwood, Horry, Jasper, Kershaw, Lancaster, Laurens, McCormick, York)"
"Acer leucoderme","chalk maple","SC(Abbeville, Aiken, Calhoun, Cherokee, Chester, Edgefield, Fairfield, Greenwood, Kershaw, Lancaster, Laurens, McCormick, Newberry, Oconee, Saluda, Spartanburg, Sumter, Union, York)"
"Acer negundo","boxelder","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Charleston, Cherokee, Chester, Darlington, Edgefield, Greenwood, Kershaw, Lancaster, Laurens, Newberry, Oconee, Pickens, Richland, Union, York)"
"Acer negundo var. negundo","boxelder","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Charleston, Cherokee, Chester, Darlington, Edgefield, Greenwood, Kershaw, Lancaster, Laurens, Newberry, Oconee, Pickens, Richland, Union, York)"
"Acer pensylvanicum","striped maple","SC(Greenville)"
"Acer rubrum","red maple","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, York)"
"Acer saccharinum","silver maple","SC(Aiken, Anderson, Kershaw, Lexington, Richland, Sumter)"
"Achillea","yarrow","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Greenwood, Horry, Jasper, Kershaw, Laurens, Marion, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Williamsburg)"
"Achillea millefolium","common yarrow","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Greenwood, Horry, Jasper, Kershaw, Laurens, Marion, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Williamsburg)"
"Achillea millefolium var. occidentalis","western yarrow","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dillon, Dorchester, Fairfield, Florence, Georgetown, Greenwood, Horry, Jasper, Kershaw, Laurens, Marion, Newberry, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Williamsburg)"
"Acmella","spotflower","SC(Aiken, Charleston, Colleton, Hampton, Orangeburg, Williamsburg)"
"Acmella oppositifolia","oppositeleaf spotflower","SC(Aiken, Charleston, Colleton, Hampton, Orangeburg, Williamsburg)"
"Acmella oppositifolia var. repens","oppositeleaf spotflower","SC(Aiken, Charleston, Colleton, Hampton, Orangeburg, Williamsburg)"
"Aconitum","monkshood","SC(Pickens)"
"Aconitum uncinatum","southern blue monkshood","SC(Pickens)"
"Acorus","sweetflag","SC(Kershaw)"
"Acorus calamus","calamus","SC(Kershaw)"
"Actaea","baneberry","SC(Anderson, Cherokee, Chester, Darlington, Greenville, Greenwood, Lancaster, McCormick, Oconee, Pickens, Richland, Saluda, Sumter)"
"Actaea pachypoda","white baneberry","SC(Greenwood, Oconee, Pickens)"
"Actaea racemosa","black baneberry","SC(Anderson, Cherokee, Chester, Darlington, Greenville, Lancaster, McCormick, Pickens, Richland, Saluda, Sumter)"
"Actaea racemosa var. racemosa","black bugbane","SC(Anderson, Cherokee, Chester, Darlington, Greenville, Lancaster, McCormick, Pickens, Richland, Saluda, Sumter)"
"Adiantum","maidenhair fern","SC(Abbeville, Calhoun, Charleston, Chester, Darlington, Dorchester, Georgetown, Greenville, Greenwood, Lancaster, McCormick, Oconee, Pickens, Richland)"
"Adiantum capillus-veneris","common maidenhair","SC(Charleston, Darlington, Dorchester, Georgetown, Greenwood)"
"Adiantum pedatum","northern maidenhair","SC(Abbeville, Calhoun, Chester, Greenville, Lancaster, McCormick, Oconee, Pickens, Richland)"
"Aeschynomene","jointvetch","SC(Aiken, Beaufort, Berkeley, Charleston, Colleton, Dorchester, Georgetown, Hampton, Jasper, Sumter)"
"Aeschynomene indica","Indian jointvetch","SC(Aiken, Beaufort, Berkeley, Charleston, Colleton, Dorchester, Georgetown, Hampton, Jasper, Sumter)"
"Aesculus","buckeye","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg, York)"
"Aesculus flava","yellow buckeye","SC(Greenville, Oconee, Pickens)"
"Aesculus parviflora","bottlebrush buckeye","SC(Aiken)"
"Aesculus pavia","red buckeye","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lexington, Marion, Orangeburg, Richland, Sumter, Williamsburg)"
"Aesculus pavia var. pavia","red buckeye","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lexington, Marion, Orangeburg, Richland, Sumter, Williamsburg)"
"Aesculus sylvatica","painted buckeye","SC(Abbeville, Aiken, Anderson, Cherokee, Chester, Chesterfield, Darlington, Edgefield, Fairfield, Kershaw, Lancaster, Laurens, McCormick, Oconee, Pickens, Spartanburg, Union, York)"
"Agalinis","false foxglove","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Agalinis aphylla","scaleleaf false foxglove","SC(Berkeley, Georgetown)"
"Agalinis fasciculata","beach false foxglove","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Georgetown, Hampton, Jasper, Lancaster, Lexington, McCormick, Newberry, Orangeburg, Saluda, Sumter, York)"
"Agalinis linifolia","flaxleaf false foxglove","SC(Allendale, Berkeley, Clarendon, Darlington, Dorchester, Georgetown, Jasper, Marion, Orangeburg)"
"Agalinis obtusifolia","tenlobe false foxglove","SC(Aiken, Allendale, Bamberg, Berkeley, Charleston, Chesterfield, Colleton, Darlington, Dorchester, Greenville, Hampton, Horry, Jasper, Marlboro, Orangeburg, Sumter, York)"
"Agalinis purpurea","purple false foxglove","SC(Abbeville, Barnwell, Berkeley, Charleston, Chester, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Edgefield, Florence, Georgetown, Greenville, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Agalinis setacea","threadleaf false foxglove","SC(Abbeville, Aiken, Barnwell, Beaufort, Berkeley, Chesterfield, Darlington, Dillon, Edgefield, Florence, Georgetown, Horry, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, Oconee, Pickens, Richland, Saluda, Spartanburg, Williamsburg)"
"Agalinis tenuifolia","slenderleaf false foxglove","SC(Chester, Fairfield, Greenville, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Pickens, Spartanburg, Union, York)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","SC(Chester, Fairfield, Greenville, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Pickens, Spartanburg, Union, York)"
"Agarista","Florida hobblebush","SC(Hampton)"
"Agarista populifolia","Florida hobblebush","SC(Hampton)"
"Agastache","giant hyssop","SC(Marlboro)"
"Agastache scrophulariifolia","purple giant hyssop","SC(Marlboro)"
"Ageratina","snakeroot","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Ageratina altissima","white snakeroot","SC(Abbeville, Anderson, Berkeley, Darlington, Greenville, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Pickens)"
"Ageratina altissima var. altissima","white snakeroot","SC(Abbeville, Anderson, Berkeley, Darlington, Greenville, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Pickens)"
"Ageratina aromatica","lesser snakeroot","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Ageratina aromatica var. aromatica","lesser snakeroot","SC(Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Florence, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Agrimonia","agrimony","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Darlington, Dorchester, Fairfield, Florence, Kershaw, Lancaster, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, York)"
"Agrimonia incisa","incised agrimony","SC(Berkeley)"
"Agrimonia microcarpa","smallfruit agrimony","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Clarendon, Florence, Lancaster, McCormick, Orangeburg, York)"
"Agrimonia parviflora","harvestlice","SC(Anderson, Berkeley, Chester, Dorchester, Fairfield, Kershaw, Lancaster, Oconee, Pickens, Richland)"
"Agrimonia pubescens","soft agrimony","SC(Oconee)"
"Agrimonia rostellata","beaked agrimony","SC(Abbeville, Chesterfield, Darlington, Dorchester, Kershaw, Lancaster, Lexington, McCormick, Pickens, Spartanburg)"
"Agrostemma","corncockle","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Cherokee, Chester, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Kershaw, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Agrostemma githago","common corncockle","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Cherokee, Chester, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Kershaw, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Agrostis","bentgrass","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Agrostis elliottiana","Elliott's bentgrass","SC(Dillon, Lancaster, Lexington, Saluda)"
"Agrostis hyemalis","winter bentgrass","SC(Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Charleston, Chester, Chesterfield, Colleton, Darlington, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lancaster, Lexington, Marlboro, McCormick, Newberry, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg)"
"Agrostis perennans","upland bentgrass","SC(Abbeville, Aiken, Barnwell, Cherokee, Chester, Clarendon, Dillon, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Kershaw, Lancaster, Laurens, Lexington, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Union, Williamsburg, York)"
"Agrostis stolonifera","creeping bentgrass","SC(Aiken, Anderson, Cherokee, Clarendon, Darlington, Greenville, Greenwood, Lancaster, Laurens, Lee, Marlboro, McCormick, Oconee, Pickens, Richland, Spartanburg, York)"
"Ailanthus","ailanthus","SC(Abbeville, Aiken, Anderson, Cherokee, Chester, Chesterfield, Fairfield, Greenville, Kershaw, Lancaster, Lee, Lexington, Spartanburg, Union, York)"
"Ailanthus altissima","tree of heaven","SC(Abbeville, Aiken, Anderson, Cherokee, Chester, Chesterfield, Fairfield, Greenville, Kershaw, Lancaster, Lee, Lexington, Spartanburg, Union, York)"
"Aira","hairgrass","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Cherokee, Chester, Edgefield, Fairfield, Greenwood, Lancaster, Laurens, McCormick, Newberry, Oconee, Richland, Spartanburg, Union, York)"
"Aira caryophyllea","silver hairgrass","SC(Chester, Union)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","SC(Chester, Union)"
"Aira elegans","annual silver hairgrass","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Cherokee, Chester, Edgefield, Fairfield, Greenwood, Lancaster, Laurens, McCormick, Newberry, Oconee, Richland, Spartanburg, York)"
"Albizia","albizia","SC(Aiken, Barnwell, Berkeley, Charleston, Cherokee, Chester, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Georgetown, Greenville, Hampton, Jasper, Lancaster, Laurens, Lexington, McCormick, Newberry, Orangeburg, Richland, Spartanburg, Union, York)"
"Albizia julibrissin","silktree","SC(Aiken, Barnwell, Berkeley, Charleston, Cherokee, Chester, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Georgetown, Greenville, Hampton, Jasper, Lancaster, Laurens, Lexington, McCormick, Newberry, Orangeburg, Richland, Spartanburg, Union, York)"
"Aletris","colicroot","SC(Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Aletris aurea","golden colicroot","SC(Allendale, Bamberg, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Georgetown, Hampton, Horry, Jasper, Orangeburg, Sumter, Williamsburg)"
"Aletris farinosa","white colicroot","SC(Bamberg, Barnwell, Beaufort, Berkeley, Charleston, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Florence, Georgetown, Horry, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Aletris obovata","southern colicroot","SC(Beaufort)"
"Alisma","water plantain","SC(Anderson, Fairfield, Lancaster)"
"Alisma subcordatum","American water plantain","SC(Anderson, Fairfield, Lancaster)"
"Allium","onion","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Dillon, Edgefield, Fairfield, Florence, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Allium ampeloprasum","broadleaf wild leek","SC(Abbeville, Aiken, Allendale, Charleston, Fairfield, Greenwood, Horry, Laurens, Newberry, Oconee, Union)"
"Allium canadense","meadow garlic","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Cherokee, Chester, Colleton, Darlington, Dillon, Edgefield, Fairfield, Greenwood, Hampton, Jasper, Lancaster, Laurens, Marlboro, McCormick, Newberry, Orangeburg, Richland, Sumter, Union)"
"Allium canadense var. mobilense","meadow garlic","SC(Barnwell, Greenwood)"
"Allium cepa","garden onion","SC(Anderson)"
"Allium cernuum","nodding onion","SC(Cherokee, Lancaster)"
"Allium cernuum var. cernuum","nodding onion","SC(Cherokee, Lancaster)"
"Allium cuthbertii","striped garlic","SC(Aiken, Allendale, Barnwell, Calhoun, Darlington, Lexington, McCormick, Orangeburg, Saluda)"
"Allium vineale","wild garlic","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Cherokee, Chester, Chesterfield, Dillon, Edgefield, Fairfield, Florence, Greenwood, Kershaw, Lancaster, Laurens, Lee, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Allium vineale ssp. vineale","wild garlic","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Calhoun, Cherokee, Chester, Chesterfield, Dillon, Edgefield, Fairfield, Florence, Greenwood, Kershaw, Lancaster, Laurens, Lee, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Alnus","alder","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Fairfield, Georgetown, Greenville, Horry, Jasper, Kershaw, Lancaster, Laurens, Marlboro, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Williamsburg)"
"Alnus serrulata","hazel alder","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Fairfield, Georgetown, Greenville, Horry, Jasper, Kershaw, Lancaster, Laurens, Marlboro, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Williamsburg)"
"Alopecurus","foxtail","SC(Abbeville, Aiken, Beaufort, Cherokee, Colleton, Darlington, Dillon, Florence, Kershaw, Lancaster, Laurens, Lexington, Marion, Richland, Saluda, Sumter, York)"
"Alopecurus carolinianus","Carolina foxtail","SC(Abbeville, Aiken, Beaufort, Cherokee, Colleton, Darlington, Dillon, Florence, Kershaw, Lancaster, Laurens, Lexington, Marion, Richland, Saluda, Sumter, York)"
"Alopecurus myosuroides","slender meadow foxtail","SC(Cherokee, York)"
"Alternanthera","joyweed","SC(Aiken, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dorchester, Georgetown, Jasper, Lexington, Richland, Sumter, Williamsburg)"
"Alternanthera paronychioides","smooth joyweed","SC(Charleston)"
"Alternanthera paronychioides var. paronychioides","smooth joyweed","SC(Charleston)"
"Alternanthera philoxeroides","alligatorweed","SC(Aiken, Beaufort, Berkeley, Calhoun, Charleston, Clarendon, Colleton, Darlington, Dorchester, Georgetown, Jasper, Lexington, Richland, Sumter, Williamsburg)"
"Amaranthus","pigweed","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Williamsburg, York)"
"Amaranthus albus","prostrate pigweed","SC(Richland)"
"Amaranthus blitoides","mat amaranth","SC(Anderson)"
"Amaranthus blitum","purple amaranth","SC(Newberry, Pickens)"
"Amaranthus cannabinus","tidalmarsh amaranth","SC(Beaufort, Berkeley, Charleston, Georgetown, Horry, Jasper)"
"Amaranthus crassipes","spreading amaranth","SC(Aiken)"
"Amaranthus crassipes var. crassipes","spreading amaranth","SC(Aiken)"
"Amaranthus hybridus","slim amaranth","SC(Aiken, Anderson, Bamberg, Barnwell, Calhoun, Charleston, Clarendon, Colleton, Darlington, Laurens, Lee, Lexington, Marlboro, Newberry, Oconee, Pickens, Spartanburg, Sumter)"
"Amaranthus palmeri","carelessweed","SC(Aiken, Calhoun, Lexington, Orangeburg, Richland)"
"Amaranthus pumilus","seaside amaranth","SC(Charleston)"
"Amaranthus retroflexus","redroot amaranth","SC(Beaufort, Colleton)"
"Amaranthus spinosus","spiny amaranth","SC(Abbeville, Aiken, Allendale, Barnwell, Beaufort, Calhoun, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Greenwood, Hampton, Horry, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Saluda, Spartanburg, Sumter, Williamsburg)"
"Amaranthus viridis","slender amaranth","SC(Aiken, Bamberg, Beaufort, Calhoun, Charleston, Georgetown, Greenwood, Hampton, Jasper, Orangeburg, Richland, York)"
"Ambrosia","ragweed","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Ambrosia artemisiifolia","annual ragweed","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Ambrosia artemisiifolia var. paniculata","annual ragweed","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Edgefield, Fairfield, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Ambrosia bidentata","lanceleaf ragweed","SC(Richland)"
"Ambrosia psilostachya","Cuman ragweed","SC(Georgetown, Kershaw)"
"Ambrosia trifida","great ragweed","SC(Abbeville, Aiken, Anderson, Cherokee, Chester, Darlington, Lexington, Oconee, Pickens, Richland, Spartanburg, Union, York)"
"Ambrosia trifida var. trifida","great ragweed","SC(Abbeville, Aiken, Anderson, Cherokee, Chester, Darlington, Lexington, Oconee, Pickens, Richland, Spartanburg, Union, York)"
"Amelanchier","serviceberry","SC(Abbeville, Aiken, Anderson, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Hampton, Horry, Kershaw, Lancaster, Lee, Marion, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Sumter, Union, Williamsburg)"
"Amelanchier arborea","common serviceberry","SC(Abbeville, Aiken, Anderson, Berkeley, Calhoun, Cherokee, Chesterfield, Darlington, Dorchester, Edgefield, Greenville, Lancaster, Oconee, Pickens, Spartanburg)"
"Amelanchier arborea var. arborea","common serviceberry","SC(Abbeville, Aiken, Anderson, Berkeley, Calhoun, Cherokee, Chesterfield, Darlington, Dorchester, Edgefield, Greenville, Lancaster, Oconee, Pickens, Spartanburg)"
"Amelanchier canadensis","Canadian serviceberry","SC(Berkeley, Calhoun, Charleston, Chesterfield, Darlington, Fairfield, Florence, Georgetown, Hampton, Kershaw, Richland, Sumter, Union, Williamsburg)"
"Amelanchier laevis","Allegheny serviceberry","SC(Oconee)"
"Amelanchier obovalis","coastal serviceberry","SC(Aiken, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dorchester, Florence, Georgetown, Horry, Kershaw, Lee, Orangeburg, Richland, Williamsburg)"
"Amelanchier stolonifera","running serviceberry","SC(Barnwell, Darlington, Marion, Orangeburg)"
