"","",""
"Abelia","abelia","FL(Franklin)"
"Acer","maple","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Acer floridanum","southern sugar maple","FL(Alachua, Bay, Calhoun, Columbia, Gadsden, Gilchrist, Hamilton, Hernando, Holmes, Jackson, Jefferson, Leon, Levy, Liberty, Marion, Okaloosa, Polk, Suwannee, Walton, Washington)"
"Acer leucoderme","chalk maple","FL(Gadsden, Jackson, Liberty)"
"Acer negundo","boxelder","FL(Alachua, Brevard, Calhoun, Citrus, Columbia, Flagler, Gadsden, Hernando, Jackson, Jefferson, Lake, Levy, Liberty, Marion, Osceola, Seminole, Sumter, Suwannee, Taylor, Volusia)"
"Acer negundo var. negundo","boxelder","FL(Alachua, Brevard, Calhoun, Citrus, Columbia, Flagler, Gadsden, Hernando, Jackson, Jefferson, Lake, Levy, Liberty, Marion, Osceola, Seminole, Sumter, Suwannee, Taylor, Volusia)"
"Acer rubrum","red maple","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Union, Volusia, Wakulla, Walton, Washington)"
"Acer rubrum var. rubrum","red maple","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Manatee, Marion, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Union, Volusia, Wakulla, Walton, Washington)"
"Acer saccharinum","silver maple","FL(Citrus, Escambia, Gadsden, Jackson, Leon, Liberty)"
"Achillea","yarrow","FL(Alachua, Bay, Columbia, Escambia, Franklin, Jackson, Leon, Madison, Volusia, Wakulla, Washington)"
"Achillea millefolium","common yarrow","FL(Alachua, Bay, Columbia, Escambia, Franklin, Jackson, Leon, Madison, Volusia, Wakulla, Washington)"
"Achyranthes","chaff flower","FL(Broward, DeSoto, Franklin, Glades, Miami-Dade, Monroe, Okeechobee, Polk)"
"Achyranthes aspera","devil's horsewhip","FL(Broward, DeSoto, Franklin, Glades, Miami-Dade, Monroe, Okeechobee, Polk)"
"Achyranthes aspera var. pubescens","devil's horsewhip","FL(DeSoto, Miami-Dade, Monroe, Polk)"
"Acicarpha","acicarpha","FL(Escambia, Walton)"
"Acicarpha tribuloides","madam gorgon","FL(Escambia, Walton)"
"Acmella","spotflower","FL(Alachua, Baker, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, Dixie, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hardee, Hendry, Hernando, Lee, Leon, Levy, Liberty, Manatee, Marion, Miami-Dade, Monroe, Osceola, Pasco, Pinellas, Polk, Santa Rosa, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla)"
"Acmella oppositifolia","oppositeleaf spotflower","FL(Alachua, Baker, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, Dixie, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hardee, Hendry, Hernando, Lee, Leon, Levy, Liberty, Manatee, Marion, Miami-Dade, Monroe, Osceola, Pasco, Pinellas, Polk, Santa Rosa, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla)"
"Acmella oppositifolia var. repens","oppositeleaf spotflower","FL(Alachua, Baker, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, Dixie, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hardee, Hendry, Hernando, Lee, Leon, Levy, Liberty, Manatee, Marion, Miami-Dade, Monroe, Osceola, Pasco, Pinellas, Polk, Santa Rosa, St. Johns, Sumter, Suwannee, Taylor, Volusia, Wakulla)"
"Acmella pilosa","hairy spotflower","FL(Miami-Dade)"
"Acmella pusilla","dwarf spotflower","FL(Escambia, Franklin)"
"Acoelorraphe","palm","FL(Collier, Hillsborough, Miami-Dade, Monroe)"
"Acoelorraphe wrightii","Everglades palm","FL(Collier, Hillsborough, Miami-Dade, Monroe)"
"Acrocomia","acrocomia","FL(Brevard)"
"Acrocomia totai","grugru palm","FL(Brevard)"
"Acrostichum","leatherfern","FL(Brevard, Broward, Charlotte, Citrus, Collier, Dixie, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, St. Johns, St. Lucie, Volusia)"
"Acrostichum aureum","golden leatherfern","FL(Broward, Charlotte, Collier, Lee, Manatee, Miami-Dade, Monroe, Palm Beach, Pinellas, Sarasota, Volusia)"
"Acrostichum danaeifolium","inland leatherfern","FL(Brevard, Broward, Charlotte, Citrus, Collier, Dixie, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, St. Johns, St. Lucie, Volusia)"
"Actaea","baneberry","FL(Liberty)"
"Actaea pachypoda","white baneberry","FL(Liberty)"
"Adenanthera","beadtree","FL(Lee, Miami-Dade, Monroe)"
"Adenanthera pavonina","red beadtree","FL(Lee, Miami-Dade, Monroe)"
"Adiantum","maidenhair fern","FL(Alachua, Calhoun, Citrus, Columbia, Gadsden, Hernando, Highlands, Hillsborough, Jackson, Leon, Liberty, Marion, Martin, Miami-Dade, Pinellas, St. Johns, Taylor, Volusia, Washington)"
"Adiantum anceps","double edge maidenhair","FL(Miami-Dade)"
"Adiantum capillus-veneris","common maidenhair","FL(Alachua, Calhoun, Citrus, Columbia, Gadsden, Hernando, Highlands, Hillsborough, Jackson, Leon, Liberty, Martin, Miami-Dade, St. Johns, Taylor, Washington)"
"Adiantum caudatum","tailed maidenhair","FL(Miami-Dade)"
"Adiantum melanoleucum","fragrant maidenhair","FL(Miami-Dade)"
"Adiantum tenerum","fan maidenhair","FL(Alachua, Citrus, Hernando, Marion, Miami-Dade, Pinellas, St. Johns, Volusia)"
"Adiantum trapeziforme","diamond maidenhair","FL(Miami-Dade)"
"Adiantum villosum","woolly maidenhair","FL(Miami-Dade)"
"Aeschynomene","jointvetch","FL(Alachua, Bay, Bradford, Brevard, Broward, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Lucie, Sumter, Taylor, Union, Volusia, Wakulla, Walton)"
"Aeschynomene americana","shyleaf","FL(Alachua, Bradford, Brevard, Broward, Collier, DeSoto, Escambia, Flagler, Franklin, Gilchrist, Glades, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Okeechobee, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Lucie, Sumter, Taylor, Union, Volusia)"
"Aeschynomene histrix","porcupine jointvetch","FL(Escambia)"
"Aeschynomene histrix var. incana","porcupine jointvetch","FL(Escambia)"
"Aeschynomene indica","Indian jointvetch","FL(Alachua, Bay, Clay, Collier, Duval, Escambia, Franklin, Gadsden, Gulf, Hardee, Hernando, Highlands, Hillsborough, Jackson, Lake, Leon, Manatee, Miami-Dade, Okaloosa, Orange, Pinellas, Polk, Putnam, Santa Rosa, Seminole, Volusia, Wakulla)"
"Aeschynomene pratensis","meadow jointvetch","FL(Collier, Miami-Dade, Monroe)"
"Aeschynomene rudis","zigzag jointvetch","FL(Lake)"
"Aeschynomene viscidula","sticky jointvetch","FL(Alachua, Bay, Bradford, Citrus, Clay, Columbia, Dixie, Duval, Escambia, Franklin, Gilchrist, Gulf, Hernando, Highlands, Hillsborough, Indian River, Lake, Leon, Levy, Marion, Martin, Miami-Dade, Okaloosa, Orange, Osceola, Pasco, Pinellas, Polk, Putnam, Sumter, Taylor, Volusia, Wakulla, Walton)"
"Aesculus","buckeye","FL(Alachua, Bay, Bradford, Clay, Columbia, Dixie, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Aesculus pavia","red buckeye","FL(Alachua, Bay, Bradford, Clay, Columbia, Dixie, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Aesculus pavia var. pavia","red buckeye","FL(Alachua, Bay, Bradford, Clay, Columbia, Dixie, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Putnam, Santa Rosa, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
"Agalinis","false foxglove","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Agalinis aphylla","scaleleaf false foxglove","FL(Bay, Duval, Escambia, Franklin, Leon, Liberty, Santa Rosa, Wakulla, Walton)"
"Agalinis divaricata","pineland false foxglove","FL(Alachua, Bay, Calhoun, Citrus, Franklin, Gadsden, Gulf, Hernando, Jackson, Leon, Levy, Liberty, Marion, Okaloosa, Santa Rosa, Wakulla, Walton, Washington)"
"Agalinis fasciculata","beach false foxglove","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Agalinis filicaulis","Jackson false foxglove","FL(Bay, Calhoun, Flagler, Franklin, Jackson, Liberty, Osceola, Pasco, St. Johns, Wakulla, Washington)"
"Agalinis filifolia","Seminole false foxglove","FL(Alachua, Bay, Brevard, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hardee, Hernando, Highlands, Hillsborough, Jackson, Lake, Lee, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Polk, Putnam, Santa Rosa, Sarasota, St. Johns, Sumter, Taylor, Volusia, Wakulla)"
"Agalinis flexicaulis","Hampton false foxglove","FL(Bradford)"
"Agalinis laxa","twoline false foxglove","FL(Marion)"
"Agalinis linifolia","flaxleaf false foxglove","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Citrus, Collier, DeSoto, Dixie, Duval, Flagler, Franklin, Gadsden, Gulf, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lake, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Santa Rosa, Seminole, St. Johns, Union, Volusia, Wakulla, Walton, Washington)"
"Agalinis maritima","saltmarsh false foxglove","FL(Brevard, Charlotte, Citrus, Collier, Franklin, Gulf, Hernando, Indian River, Lee, Levy, Manatee, Miami-Dade, Monroe, Pasco, Pinellas, Seminole, St. Johns, Taylor, Wakulla)"
"Agalinis maritima var. grandiflora","saltmarsh false foxglove","FL(Brevard, Charlotte, Citrus, Collier, Franklin, Gulf, Hernando, Indian River, Lee, Levy, Manatee, Miami-Dade, Monroe, Pasco, Pinellas, Seminole, St. Johns, Taylor, Wakulla)"
"Agalinis obtusifolia","tenlobe false foxglove","FL(Alachua, Baker, Bradford, Calhoun, Charlotte, Clay, Collier, DeSoto, Duval, Flagler, Gilchrist, Hardee, Hernando, Highlands, Hillsborough, Holmes, Jackson, Lee, Liberty, Manatee, Marion, Monroe, Okaloosa, Pasco, Santa Rosa, St. Johns, Union, Volusia, Wakulla, Walton, Washington)"
"Agalinis purpurea","purple false foxglove","FL(Franklin, Holmes, Jefferson, Marion, Nassau, Walton)"
"Agalinis setacea","threadleaf false foxglove","FL(Alachua, Bay, Calhoun, Citrus, Columbia, Duval, Escambia, Franklin, Hernando, Highlands, Hillsborough, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Madison, Marion, Okaloosa, Osceola, Pinellas, Polk, Putnam, Santa Rosa, Taylor, Wakulla, Washington)"
"Agalinis tenuifolia","slenderleaf false foxglove","FL(Alachua, Calhoun, Clay, Columbia, Escambia, Gadsden, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Levy, Liberty, Marion, Nassau, Santa Rosa, Walton, Washington)"
"Agalinis tenuifolia var. leucanthera","slenderleaf false foxglove","FL(Alachua, Calhoun, Clay, Columbia, Escambia, Gadsden, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Levy, Liberty, Marion, Nassau, Santa Rosa, Walton, Washington)"
"Agarista","Florida hobblebush","FL(Clay, Duval, Lake, Marion, Orange, Putnam, Seminole, St. Johns)"
"Agarista populifolia","Florida hobblebush","FL(Clay, Duval, Lake, Marion, Orange, Putnam, Seminole, St. Johns)"
"Agave","agave","FL(Brevard, Collier, Highlands, Hillsborough, Lee, Manatee, Martin, Miami-Dade, Monroe, Sarasota, St. Lucie)"
"Agave americana","American century plant","FL(Lee)"
"Agave americana ssp. americana","American century plant","FL(Lee)"
"Agave americana ssp. americana var. americana","American century plant","FL(Lee)"
"Agave decipiens","false sisal","FL(Collier, Highlands, Hillsborough, Lee, Manatee, Martin, Monroe, Sarasota)"
"Agave desmettiana","dwarf century plant","FL(Lee)"
"Agave neglecta","wild century plant","FL(Lee, St. Lucie)"
"Agave sisalana","sisal hemp","FL(Brevard, Collier, Lee, Manatee, Martin, Miami-Dade, Monroe)"
"Agdestis","agdestis","FL(Miami-Dade, Monroe, Pasco, Volusia)"
"Agdestis clematidea","rockroot","FL(Miami-Dade, Monroe, Pasco, Volusia)"
"Ageratina","snakeroot","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton)"
"Ageratina altissima","white snakeroot","FL(Calhoun, Gadsden, Jackson, Jefferson, Leon, Liberty)"
"Ageratina altissima var. altissima","white snakeroot","FL(Calhoun, Gadsden, Jackson, Jefferson, Leon, Liberty)"
"Ageratina aromatica","lesser snakeroot","FL(Baker, Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Putnam, Santa Rosa, St. Johns, Wakulla, Walton)"
"Ageratina jucunda","hammock snakeroot","FL(Alachua, Bradford, Brevard, Broward, Citrus, Clay, Collier, Columbia, DeSoto, Duval, Flagler, Gadsden, Gilchrist, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lake, Lee, Leon, Levy, Madison, Manatee, Marion, Martin, Miami-Dade, Nassau, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia)"
"Ageratum","whiteweed","FL(Broward, Hernando, Lee, Manatee, Miami-Dade, Monroe, Palm Beach, Pinellas, Polk, Seminole, St. Lucie)"
"Ageratum conyzoides","tropical whiteweed","FL(Broward, St. Lucie)"
"Ageratum houstonianum","bluemink","FL(Broward, Hernando, Lee, Manatee, Miami-Dade, Palm Beach, Pinellas, Polk, Seminole)"
"Ageratum littorale","Cape Sable whiteweed","FL(Monroe)"
"Aglaonema","aglaonema","FL(Miami-Dade)"
"Aglaonema commutatum","Philippine evergreen","FL(Miami-Dade)"
"Aglaonema commutatum var. maculatum","Philippine evergreen","FL(Miami-Dade)"
"Agrimonia","agrimony","FL(Alachua, Calhoun, Citrus, Clay, Columbia, Dixie, Escambia, Gadsden, Gilchrist, Hernando, Jackson, Leon, Liberty, Madison, Marion, Polk, Suwannee, Union, Wakulla, Washington)"
"Agrimonia incisa","incised agrimony","FL(Alachua, Calhoun, Citrus, Clay, Columbia, Dixie, Escambia, Gadsden, Gilchrist, Hernando, Jackson, Liberty, Madison, Marion, Polk, Suwannee, Wakulla, Washington)"
"Agrimonia microcarpa","smallfruit agrimony","FL(Alachua, Columbia, Gadsden, Jackson, Leon, Liberty, Suwannee, Union, Wakulla)"
"Agrimonia rostellata","beaked agrimony","FL(Columbia, Jackson)"
"Agrostemma","corncockle","FL(Columbia, Duval, Putnam)"
"Agrostemma githago","common corncockle","FL(Columbia, Duval, Putnam)"
"Agrostis","bentgrass","FL(Alachua, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gilchrist, Hamilton, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Marion, Okaloosa, Orange, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Agrostis elliottiana","Elliott's bentgrass","FL(Gadsden)"
"Agrostis hyemalis","winter bentgrass","FL(Alachua, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Holmes, Jackson, Jefferson, Leon, Liberty, Marion, Okaloosa, Orange, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Union, Volusia, Wakulla, Walton, Washington)"
"Agrostis perennans","upland bentgrass","FL(Franklin, Gilchrist, Jackson, Leon, Liberty, Madison)"
"Agrostis scabra","rough bentgrass","FL(Alachua, Calhoun, Franklin, Gadsden, Hamilton, Holmes, Jefferson, Leon, Liberty, St. Johns, Taylor, Wakulla)"
"Agrostis stolonifera","creeping bentgrass","FL(Walton)"
"Ailanthus","ailanthus","FL(Alachua, Franklin, Jackson, Jefferson)"
"Ailanthus altissima","tree of heaven","FL(Alachua, Franklin, Jackson, Jefferson)"
"Aira","hairgrass","FL(Escambia)"
"Aira caryophyllea","silver hairgrass","FL(Escambia)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","FL(Escambia)"
"Ajuga","bugle","FL(Leon)"
"Ajuga reptans","common bugle","FL(Leon)"
"Albizia","albizia","FL(Alachua, Baker, Bradford, Broward, Clay, Collier, Escambia, Franklin, Gadsden, Gilchrist, Indian River, Lake, Lee, Levy, Marion, Miami-Dade, Okaloosa, Palm Beach, Pinellas, Polk, St. Johns, St. Lucie, Sumter, Suwannee, Walton)"
"Albizia julibrissin","silktree","FL(Alachua, Baker, Bradford, Clay, Escambia, Franklin, Gadsden, Gilchrist, Lake, Levy, Marion, Okaloosa, St. Johns, Sumter, Suwannee, Walton)"
"Albizia lebbeck","woman's tongue","FL(Broward, Collier, Indian River, Lee, Marion, Miami-Dade, Palm Beach, Pinellas, Polk, St. Lucie)"
"Albizia lebbekoides","Indian albizia","FL(Miami-Dade)"
"Albizia procera","tall albizia","FL(Miami-Dade)"
"Alcea","hollyhock","FL(Pasco)"
"Alcea rosea","hollyhock","FL(Pasco)"
